"","R².Trein","R².Val","REQM.Trein","REQM.Val","n.Fold","method","variable"
"K-Fold 1",0.321065637914033,0.15230471984433,2.82353676622469,2.91179952682027,"K-Fold 1","DT","1"
"K-Fold 2",0.304804306661821,0.11219465750412,2.85131598271606,2.9499938845722,"K-Fold 2","DT","1"
"K-Fold 3",0.287738431159453,0.115309856999924,2.87602640622522,3.05755052335937,"K-Fold 3","DT","1"
"K-Fold 4",0.331966048831608,0.064560575134598,2.68204330978615,3.6250904490349,"K-Fold 4","DT","1"
"K-Fold 5",0.325554325718511,0.0368855368031365,2.5780913307527,4.1126006471138,"K-Fold 5","DT","1"
"Mean",0.314225750057085,0.0962510692572217,2.76220275914096,3.33140700618011,"Mean","DT","1"
" SD",0.0178898054143738,0.0455192294581168,0.127457252697213,0.522746891070296," SD","DT","1"
"K-Fold 11",0.320962981557839,0.0102083191737814,1.39544355812406,1.88684017713264,"K-Fold 1","DT","2"
"K-Fold 21",0.322894956322359,0.053616388484336,1.39819935198896,1.7703943664412,"K-Fold 2","DT","2"
"K-Fold 31",0.350209963800638,6.55883406117931e-05,1.36984691557466,1.94412075359187,"K-Fold 3","DT","2"
"K-Fold 41",0.316646892484121,0.0329556261897577,1.42058106166648,1.74699128164742,"K-Fold 4","DT","2"
"K-Fold 51",0.368681097434077,0.0115277573343638,1.34791687843369,1.90000458924395,"K-Fold 5","DT","2"
"Mean1",0.335879178319807,0.0216747359045701,1.38639755315757,1.84967023361142,"Mean","DT","2"
" SD1",0.0225959126572869,0.021499551160095,0.0280370774470818,0.0861157405398469," SD","DT","2"
"K-Fold 12",0.402637048363405,0.00816418708254608,0.762248317389332,1.14301770978713,"K-Fold 1","DT","3"
"K-Fold 22",0.42778613545353,0.0941195508242393,0.720748014963485,1.10621857377519,"K-Fold 2","DT","3"
"K-Fold 32",0.424314352602706,0.185046053138866,0.759739971584103,0.889928838644151,"K-Fold 3","DT","3"
"K-Fold 42",0.400158041272976,0.172262529952684,0.783993003920963,0.85011339278231,"K-Fold 4","DT","3"
"K-Fold 52",0.439893072917233,0.133372286880938,0.739527738693642,0.970144565672821,"K-Fold 5","DT","3"
"Mean2",0.41895773012197,0.118592921575855,0.753251409310305,0.99188461613232,"Mean","DT","3"
" SD2",0.0170639655190254,0.0712536428444431,0.024046315798002,0.129305989802593," SD","DT","3"
"K-Fold 13",0.340681284455139,0.0157832753910545,0.893710047221547,0.981774899735762,"K-Fold 1","DT","4"
"K-Fold 23",0.349963551250798,0.0305554372914232,0.82935925377247,1.21555202162988,"K-Fold 2","DT","4"
"K-Fold 33",0.361221313396676,0.00355210516209277,0.821506200063607,1.28574798644239,"K-Fold 3","DT","4"
"K-Fold 43",0.33338359754464,0.0780351768707285,0.869677919111651,1.02379596569906,"K-Fold 4","DT","4"
"K-Fold 53",0.301539891877649,0.0496420729144905,0.864099800102802,1.15798067035381,"K-Fold 5","DT","4"
"Mean3",0.33735792770498,0.0355136135259579,0.855670644054416,1.13297030877218,"Mean","DT","4"
" SD3",0.0225728521264467,0.0293389863720634,0.029890421171751,0.128028673720378," SD","DT","4"
"K-Fold 14",0.36194603142652,0.0278779182739379,0.707653085040182,0.896107108879166,"K-Fold 1","DT","5"
"K-Fold 24",0.373948563245931,0.05030687204765,0.672597713288083,0.975727554618702,"K-Fold 2","DT","5"
"K-Fold 34",0.392004411150102,0.00280247875557146,0.644421135638016,1.12428958237139,"K-Fold 3","DT","5"
"K-Fold 44",0.344930152377843,0.0481526846502256,0.720815609644941,0.846983404262417,"K-Fold 4","DT","5"
"K-Fold 54",0.309226805698686,0.116756531926086,0.752593038354915,0.726238537274895,"K-Fold 5","DT","5"
"Mean4",0.356411192779816,0.0491792971306941,0.699616116393227,0.913869237481313,"Mean","DT","5"
" SD4",0.0314771808958464,0.0423484534687161,0.0421219825228366,0.148406250289992," SD","DT","5"
"K-Fold 15",0.412019241588201,0.0787879406886812,0.571870372150744,0.790548582361926,"K-Fold 1","DT","6"
"K-Fold 25",0.363011184618479,0.0103769898975268,0.605021601599569,0.810244265900312,"K-Fold 2","DT","6"
"K-Fold 35",0.328370042419349,0.029933682787895,0.624728778613692,0.766003865288289,"K-Fold 3","DT","6"
"K-Fold 45",0.390978919524266,0.0871943800674032,0.581664575015623,0.791268350811405,"K-Fold 4","DT","6"
"K-Fold 55",0.38078114153989,0.0769255144142988,0.593197933496167,0.774674573329717,"K-Fold 5","DT","6"
"Mean5",0.375032105938037,0.056643701571161,0.595296652175159,0.78654792753833,"Mean","DT","6"
" SD5",0.0315327258522871,0.0342384905018181,0.0206146395285033,0.0170502134924818," SD","DT","6"
"K-Fold 16",0.42863512876138,0.295371415961013,2.09060830194023,2.36706112763074,"K-Fold 1","DT","7"
"K-Fold 26",0.490143302043152,0.328038366553972,1.89254929992316,2.6142583590105,"K-Fold 2","DT","7"
"K-Fold 36",0.462276622279968,0.337592433837729,2.04331972125354,2.27665541358712,"K-Fold 3","DT","7"
