"","R².Trein","R².Val","REQM.Trein","REQM.Val","n.Fold","method","variable"
"K-Fold 1",0.107788467759434,0.221300304475477,3.23729157376111,2.70458567923803,"K-Fold 1","BA",1
"K-Fold 2",0.101555651206405,0.247778994533229,3.24287015017905,2.64232409513688,"K-Fold 2","BA",1
"K-Fold 3",0.133504345849325,0.232423126213322,3.17329508379772,2.78251298796414,"K-Fold 3","BA",1
"K-Fold 4",0.144137426095206,0.154196529966725,3.03651495675147,3.32339346590329,"K-Fold 4","BA",1
"K-Fold 5",0.206529555510176,0.0351138366820435,2.7991991894958,4.04912710475048,"K-Fold 5","BA",1
"Mean",0.138703089284109,0.178162558374159,3.09783419079703,3.10038866659856,"Mean","BA",1
" SD",0.0418109867449444,0.0875911380217689,0.186494671516126,0.595265459278269," SD","BA",1
"K-Fold 11",0.201748829931873,0.145563750143264,1.52899070711076,1.62273004510597,"K-Fold 1","BA",2
"K-Fold 21",0.165678099166801,0.206593098533367,1.5631410213321,1.55190541267102,"K-Fold 2","BA",2
"K-Fold 31",0.158740864130264,0.276998546973164,1.56863062384332,1.50897677719233,"K-Fold 3","BA",2
"K-Fold 41",0.174291065658772,0.191824231891137,1.57102211057248,1.50960572618102,"K-Fold 4","BA",2
"K-Fold 51",0.1878504325871,0.189804127933613,1.54159086672892,1.60165018644236,"K-Fold 5","BA",2
"Mean1",0.177661858294962,0.202156751094909,1.55467506591752,1.55897362951854,"Mean","BA",2
" SD1",0.0172985981712556,0.0476526274135311,0.0184698296065147,0.052136848416702," SD","BA",2
"K-Fold 12",0.334265199240713,0.156469004811246,0.822423497809351,0.917003490998205,"K-Fold 1","BA",3
"K-Fold 22",0.291608211779275,0.388337355536904,0.81975365003003,0.947170880524825,"K-Fold 2","BA",3
"K-Fold 32",0.33686374186054,0.29115741173761,0.83991718179162,0.796623533487912,"K-Fold 3","BA",3
"K-Fold 42",0.302909759036728,0.443364494851126,0.864968919159065,0.70737968726884,"K-Fold 4","BA",3
"K-Fold 52",0.31027673597276,0.408327750029162,0.8409176713622,0.804848395412954,"K-Fold 5","BA",3
"Mean2",0.315184729578003,0.33753120339321,0.837596184030453,0.834605197538547,"Mean","BA",3
" SD2",0.0197778878462036,0.115896667337647,0.0181263093585245,0.0974357689601406," SD","BA",3
"K-Fold 13",0.155616642746328,0.163243915299875,1.01448099267799,0.777760858942761,"K-Fold 1","BA",4
"K-Fold 23",0.146808366861154,0.210483456872775,0.953816784654501,1.05026330876498,"K-Fold 2","BA",4
"K-Fold 33",0.183112429313099,0.0983450522706823,0.934663031846166,1.09460867577258,"K-Fold 3","BA",4
"K-Fold 43",0.138180008108529,0.175864031198658,0.990557148918987,0.913850885419462,"K-Fold 4","BA",4
"K-Fold 53",0.157116073405914,0.146795516715052,0.95271242487873,1.04648779622686,"K-Fold 5","BA",4
"Mean3",0.156166704087005,0.158946394471408,0.969246076595274,0.97659430502533,"Mean","BA",4
" SD3",0.0168699117172944,0.0411731418082471,0.0324336673442626,0.130106773374899," SD","BA",4
"K-Fold 14",0.209499671374502,0.306579092998022,0.793545994251142,0.712889421409012,"K-Fold 1","BA",5
"K-Fold 24",0.23546228615119,0.245953634915028,0.750565449520463,0.853827955993284,"K-Fold 2","BA",5
"K-Fold 34",0.266165072714519,0.179602615464399,0.718127821516868,0.953207586290666,"K-Fold 3","BA",5
"K-Fold 44",0.242693927608842,0.275014975095826,0.784016216371905,0.716439840017107,"K-Fold 4","BA",5
"K-Fold 54",0.211192755428608,0.343822144388548,0.810900153681597,0.601140117995497,"K-Fold 5","BA",5
"Mean4",0.233002742655532,0.270194492572365,0.771431127068395,0.767500984341113,"Mean","BA",5
" SD4",0.0235996740307323,0.0623751045886236,0.0370198418666773,0.137117549167778," SD","BA",5
"K-Fold 15",0.258752168177635,0.2126126397312,0.65099430089802,0.704815780715348,"K-Fold 1","BA",6
"K-Fold 25",0.219073818376267,0.269573720674712,0.675571755153646,0.635678374859134,"K-Fold 2","BA",6
"K-Fold 35",0.211779798426256,0.274047992783585,0.680450742613696,0.619360385074369,"K-Fold 3","BA",6
"K-Fold 45",0.231554920824823,0.258407663400771,0.658403315911579,0.703582973280146,"K-Fold 4","BA",6
"K-Fold 55",0.245872469134512,0.252073850713109,0.662070115739536,0.666806913380227,"K-Fold 5","BA",6
"Mean5",0.233406634987899,0.253343173460675,0.665498046063295,0.666048885461845,"Mean","BA",6
" SD5",0.0191987734677981,0.0243841999178779,0.0122219809668365,0.0387764055353697," SD","BA",6
