"","R².Trein","R².Val","REQM.Trein","REQM.Val","n.Fold","method","variable"
"K-Fold 1",0.817490564280354,0.14599154361283,3.52465220882479,2.8342671440908,"K-Fold 1","BO",1
"K-Fold 2",0.82587413072234,0.141635549137523,3.57939664077126,2.91293717227771,"K-Fold 2","BO",1
"K-Fold 3",0.810666760165035,0.157143591793332,3.66290790851426,2.9534526376444,"K-Fold 3","BO",1
"K-Fold 4",0.824414616689057,0.0880420782353283,3.89182660843977,3.5301100426114,"K-Fold 4","BO",1
"K-Fold 5",0.82772276913614,0.0372467953837716,4.56815242394491,4.15073507863368,"K-Fold 5","BO",1
"Mean",0.821233768198585,0.114011911632557,3.845387158099,3.2763004150516,"Mean","BO",1
" SD",0.00706100433708543,0.0505307316478304,0.427629159314608,0.561407217206947," SD","BO",1
"K-Fold 11",0.838707684934627,0.0948019181160268,1.96713616980308,1.72729598359466,"K-Fold 1","BO",2
"K-Fold 21",0.837325292069236,0.130974953069752,2.04941686954259,1.65197097901847,"K-Fold 2","BO",2
"K-Fold 31",0.825605838617731,0.216919106909232,1.95541030410744,1.52945824026355,"K-Fold 3","BO",2
"K-Fold 41",0.838740308917298,0.174537702676628,2.20937362120735,1.54942478083991,"K-Fold 4","BO",2
"K-Fold 51",0.829991918987778,0.119514012999584,1.99141519880242,1.71135005380457,"K-Fold 5","BO",2
"Mean1",0.834074208705334,0.147349538754245,2.03455043269258,1.63390000750423,"Mean","BO",2
" SD1",0.00596216230643775,0.0484337616127866,0.104226495411738,0.0909560672764922," SD","BO",2
"K-Fold 12",0.860487214565287,0.191528360787307,1.24213631159048,0.93019492085225,"K-Fold 1","BO",3
"K-Fold 22",0.841346338060373,0.327074265512376,1.33390592192743,0.920530914533732,"K-Fold 2","BO",3
"K-Fold 32",0.85654959692382,0.243112837392632,1.2191671764717,0.861171443638715,"K-Fold 3","BO",3
"K-Fold 42",0.847463121395352,0.333183345679425,1.17818193676908,0.742546395263619,"K-Fold 4","BO",3
"K-Fold 52",0.858503740437407,0.33419465589348,1.2122013419281,0.813549787721101,"K-Fold 5","BO",3
"Mean2",0.852870002276448,0.285818693053044,1.23711853773736,0.853598692401883,"Mean","BO",3
" SD2",0.00814446964687804,0.0651922603239354,0.0587571628501118,0.0780076576360274," SD","BO",3
"K-Fold 13",0.827773523529849,0.160509115762371,1.0971326250535,0.837714325388027,"K-Fold 1","BO",4
"K-Fold 23",0.824567245689711,0.150946225389755,1.38443354814649,1.06113564588034,"K-Fold 2","BO",4
"K-Fold 33",0.847862739571106,0.0695084454112321,1.40436207094995,1.16272301374202,"K-Fold 3","BO",4
"K-Fold 43",0.82110780200693,0.144387170459874,1.28409231994468,0.955218351288841,"K-Fold 4","BO",4
"K-Fold 53",0.822779878769614,0.18557272797174,1.33954374673433,1.01616312546833,"K-Fold 5","BO",4
"Mean3",0.828818237913442,0.142184736998994,1.30191286216579,1.00659089235351,"Mean","BO",4
" SD3",0.0109289524822438,0.0435366465424107,0.123464675824157,0.121039693859983," SD","BO",4
"K-Fold 14",0.827968133881547,0.272033302996293,1.06084090555412,0.734503627642704,"K-Fold 1","BO",5
"K-Fold 24",0.839193900195705,0.189921047570528,1.1469381361138,0.882088326431952,"K-Fold 2","BO",5
"K-Fold 34",0.849409990027635,0.169289391793643,1.23908164928216,0.960221168601827,"K-Fold 3","BO",5
"K-Fold 44",0.843305472942487,0.217412349412243,1.05534227765117,0.770152258872242,"K-Fold 4","BO",5
"K-Fold 54",0.837898374879742,0.263599734308694,0.978333956668107,0.654025494990503,"K-Fold 5","BO",5
"Mean4",0.839555174385423,0.22245116521628,1.09610738505387,0.800198175307846,"Mean","BO",5
" SD4",0.00787904089800511,0.0448925536625581,0.099751572013343,0.121344899349368," SD","BO",5
"K-Fold 15",0.843756484986852,0.1497503553493,0.96006170769421,0.738543021863033,"K-Fold 1","BO",6
"K-Fold 25",0.835378023457518,0.205389758687354,0.917719681136063,0.682824993262262,"K-Fold 2","BO",6
"K-Fold 35",0.836656608113158,0.243231409769772,0.892090815723815,0.641614477424627,"K-Fold 3","BO",6
"K-Fold 45",0.840694303770944,0.307687213569935,0.974514027282254,0.677352279970654,"K-Fold 4","BO",6
"K-Fold 55",0.838093649452168,0.170975034167219,0.934957546020808,0.714587850473571,"K-Fold 5","BO",6
"Mean5",0.838915813956128,0.215406754308716,0.93586875557143,0.690984524598829,"Mean","BO",6
" SD5",0.00335003914804078,0.0626002701538035,0.0328842028222729,0.0371104609833814," SD","BO",6
"K-Fold 16",0.854193230532764,0.331222741374965,3.39839873723471,2.28173458067402,"K-Fold 1","BO",7
"K-Fold 26",0.858848602428795,0.257363208057347,3.7319358069595,2.74213901873496,"K-Fold 2","BO",7
"K-Fold 36",0.86381487433289,0.305395069875509,3.31070785862525,2.27053344714359,"K-Fold 3","BO",7
"K-Fold 46",0.853335568648295,0.409648805553891,3.16111525793613,1.94962279192093,"K-Fold 4","BO",7
"K-Fold 56",0.84791308059861,0.431232133949655,3.58963322797864,2.27407396458942,"K-Fold 5","BO",7
"Mean6",0.855621071308271,0.346972391762274,3.43835817774685,2.30362076061259,"Mean","BO",7
" SD6",0.00600480510943908,0.0725164946514299,0.225735997705183,0.282869056669617," SD","BO",7
"K-Fold 17",0.853840463856353,0.277547452360179,1.5984511246711,1.13301256206826,"K-Fold 1","BO",8
"K-Fold 27",0.844454805969372,0.39635660391868,1.44846947044247,0.882840508625162,"K-Fold 2","BO",8
"K-Fold 37",0.861759668920681,0.166131170994184,1.54855061552053,1.19450889972774,"K-Fold 3","BO",8
"K-Fold 47",0.851618111253096,0.243368944551926,1.57020775771901,1.15678118553485,"K-Fold 4","BO",8
"K-Fold 57",0.856325442985156,0.327152215021278,1.54607132982738,1.08098381587163,"K-Fold 5","BO",8
"Mean7",0.853599698596932,0.28211127736925,1.5423500596361,1.08962539436553,"Mean","BO",8
" SD7",0.00635666020083241,0.0866802495216947,0.0565447623856448,0.122706521989899," SD","BO",8
"K-Fold 18",0.856126787222923,0.271661770708281,1.25656589740507,0.880665261777705,"K-Fold 1","BO",9
"K-Fold 28",0.860528145118878,0.408950437272872,1.30310259613084,0.913447836326273,"K-Fold 2","BO",9
"K-Fold 38",0.849565252063647,0.307806482056131,1.30304646967846,0.884229437561703,"K-Fold 3","BO",9
"K-Fold 48",0.867530012212959,0.212094133665116,1.31710627902809,1.00209445758492,"K-Fold 4","BO",9
"K-Fold 58",0.86034538923819,0.414061653995018,1.16731415543135,0.71088483499396,"K-Fold 5","BO",9
"Mean8",0.85881911717132,0.322914895539483,1.26942707953476,0.878264365648913,"Mean","BO",9
" SD8",0.00659569244575819,0.0878154801895302,0.061502173032124,0.105627910545939," SD","BO",9
"K-Fold 19",0.869963778954653,0.346486531604231,0.989029616433114,0.674357870504738,"K-Fold 1","BO",10
"K-Fold 29",0.867504136518196,0.408721751025572,0.939305302083803,0.607312357166904,"K-Fold 2","BO",10
"K-Fold 39",0.871439127792996,0.435224133649775,0.96461024431864,0.578624464415273,"K-Fold 3","BO",10
"K-Fold 49",0.874314725077435,0.339590435831242,0.960826403287603,0.627673062425836,"K-Fold 4","BO",10
"K-Fold 59",0.86148785970543,0.380320887843867,0.919330777610712,0.606316443983783,"K-Fold 5","BO",10
"Mean9",0.868941925609742,0.382068747990938,0.954620468746774,0.618856839699307,"Mean","BO",10
" SD9",0.00484193951583948,0.0406492119767551,0.0264679774179803,0.035592382704265," SD","BO",10
"K-Fold 110",0.877752220890276,0.44058610136098,0.877665088140555,0.537479518593569,"K-Fold 1","BO",11
"K-Fold 210",0.887403456366914,0.491439251058511,0.914755591362649,0.595998646093928,"K-Fold 2","BO",11
"K-Fold 310",0.873728785021244,0.399771588753497,0.849847083937788,0.523006716876899,"K-Fold 3","BO",11
"K-Fold 410",0.876742009596422,0.379004076673778,0.834990094746707,0.524919357335096,"K-Fold 4","BO",11
"K-Fold 510",0.869793929974254,0.485662197051859,0.782766373435785,0.423367909166261,"K-Fold 5","BO",11
"Mean10",0.877084080369822,0.439292642979725,0.852004846324697,0.520954429613151,"Mean","BO",11
" SD10",0.00654708417550561,0.0501689701606836,0.0492042372429298,0.0621445381767554," SD","BO",11
"K-Fold 111",0.86506475625187,0.37788283070602,0.750850797730181,0.467228026124451,"K-Fold 1","BO",12
"K-Fold 211",0.873523382767391,0.342731016608718,0.763859781880364,0.499320823360834,"K-Fold 2","BO",12
"K-Fold 311",0.876212732872712,0.315340536461994,0.807746327576409,0.562409694008867,"K-Fold 3","BO",12
"K-Fold 411",0.859801417955298,0.447017966607898,0.674806549821595,0.374204220045086,"K-Fold 4","BO",12
"K-Fold 511",0.867012572346518,0.46860704790081,0.772539026271081,0.419109968191776,"K-Fold 5","BO",12
"Mean11",0.868322972438758,0.390315879657088,0.753960496655926,0.464454546346203,"Mean","BO",12
" SD11",0.00660004922762239,0.0659257834127095,0.0490180852983967,0.0724910556241537," SD","BO",12
"K-Fold 112",0.917832128352372,0.721936678847464,2.89858199399127,1.150240692608,"K-Fold 1","BO",13
"K-Fold 212",0.926540951835727,0.627256373261424,2.92484219301894,1.33375798924152,"K-Fold 2","BO",13
"K-Fold 312",0.930570708623674,0.648665388159631,2.94287241326827,1.47114980862496,"K-Fold 3","BO",13
"K-Fold 412",0.924343140242682,0.670564619519045,2.76406519372512,1.20914710683447,"K-Fold 4","BO",13
"K-Fold 512",0.924673639739504,0.685262362379315,2.92645522112988,1.31700731173612,"K-Fold 5","BO",13
"Mean12",0.924792113758792,0.670737084433376,2.8913634030267,1.29626058180901,"Mean","BO",13
" SD12",0.00461268911267537,0.036090663377596,0.0729081363088146,0.123827793313461," SD","BO",13
"K-Fold 113",0.899202884489481,0.533775622114526,1.36985059235675,0.724177374206281,"K-Fold 1","BO",14
"K-Fold 213",0.905264068216627,0.469438285969319,1.36531369195181,0.769803215333772,"K-Fold 2","BO",14
"K-Fold 313",0.900506613748234,0.524832948784626,1.34187902543619,0.712914155825303,"K-Fold 3","BO",14
"K-Fold 413",0.905566187360016,0.435848383688076,1.27309060323152,0.705223880346127,"K-Fold 4","BO",14
"K-Fold 513",0.902460841084398,0.503245497970406,1.33704310928756,0.768648084032358,"K-Fold 5","BO",14
"Mean13",0.902600118979751,0.493428147705391,1.33743540445276,0.736153341948768,"Mean","BO",14
" SD13",0.00282123872799975,0.0406248177800642,0.0386913957743599,0.0309367799390355," SD","BO",14
"K-Fold 114",0.908219054987024,0.540365749566684,1.00033989525596,0.538549158129947,"K-Fold 1","BO",15
"K-Fold 214",0.907668450887969,0.519020307912429,1.03623509567631,0.564134205546548,"K-Fold 2","BO",15
"K-Fold 314",0.897176521399579,0.56079486434828,1.00638086137879,0.499451130044937,"K-Fold 3","BO",15
"K-Fold 414",0.906036193080074,0.57204065155156,0.983336627577118,0.476062506535546,"K-Fold 4","BO",15
"K-Fold 514",0.911756547164904,0.514287396758055,0.960585254633161,0.531167774001758,"K-Fold 5","BO",15
"Mean14",0.90617135350391,0.541301794027401,0.997375546904267,0.521872954851747,"Mean","BO",15
" SD14",0.00544412626363013,0.0252585412037961,0.028064944512548,0.0344667888397465," SD","BO",15
"K-Fold 115",0.920377259882018,0.536735401262464,0.891092215384808,0.45968039903276,"K-Fold 1","BO",16
"K-Fold 215",0.912725371444246,0.6527527701246,0.858679212792307,0.388182904264151,"K-Fold 2","BO",16
"K-Fold 315",0.916635721113727,0.60352126508563,0.902838278028989,0.432424770408637,"K-Fold 3","BO",16
"K-Fold 415",0.910259162750137,0.612273850645332,0.853224593873699,0.403627845558564,"K-Fold 4","BO",16
"K-Fold 515",0.915637479009184,0.613014590481722,0.890708005040706,0.426368087957912,"K-Fold 5","BO",16
"Mean15",0.915126998839862,0.60365957551995,0.879308461024102,0.422056801444405,"Mean","BO",16
" SD15",0.00385894144350216,0.0419843066728016,0.0219567345422326,0.0275167421425394," SD","BO",16
"K-Fold 116",0.938815196379764,0.568250362814668,0.716173543441127,0.370854245416455,"K-Fold 1","BO",17
"K-Fold 216",0.931043202401713,0.699298826718137,0.731627944055324,0.337249037150811,"K-Fold 2","BO",17
"K-Fold 316",0.924612140510265,0.749440146432922,0.732349625667739,0.261990444156752,"K-Fold 3","BO",17
"K-Fold 416",0.928316876323473,0.637498340858594,0.685568755366872,0.298986443763915,"K-Fold 4","BO",17
"K-Fold 516",0.927669330350152,0.68661216815467,0.717557524575836,0.314268381175562,"K-Fold 5","BO",17
"Mean16",0.930091349193073,0.668219968995798,0.71665547862138,0.316669710332699,"Mean","BO",17
" SD16",0.00538628330339459,0.0686269375055338,0.0189599003412971,0.0408281734294259," SD","BO",17
"K-Fold 117",0.937438263246701,0.74709263576702,0.614381440814317,0.226446871292628,"K-Fold 1","BO",18
"K-Fold 217",0.945334678577607,0.645918814842542,0.656061279961113,0.307118714949809,"K-Fold 2","BO",18
"K-Fold 317",0.937753256181346,0.696338238560355,0.635313799757613,0.283060833849168,"K-Fold 3","BO",18
"K-Fold 417",0.937526834225639,0.708975752629202,0.594252811012659,0.222976191158185,"K-Fold 4","BO",18
"K-Fold 517",0.938950904449525,0.773686111795536,0.589582424658882,0.209652688114303,"K-Fold 5","BO",18
"Mean17",0.939400787336164,0.714402310718931,0.617918351240917,0.249851059872819,"Mean","BO",18
" SD17",0.0033723515477047,0.0490636674764101,0.0279865007877664,0.0426274474638675," SD","BO",18
