"","R..Trein","R..Val","REQM.Trein","REQM.Val","n.Fold","method","variable"
"K-Fold 1",0.219621997252565,0.188959693070267,3.07869713253595,2.53587170821321,"K-Fold 1","G-BLUP","1"
"K-Fold 2",0.233533712500721,0.122981464313539,3.04172615675385,2.8188264743812,"K-Fold 2","G-BLUP","1"
"K-Fold 3",0.21527057221803,0.204416423323733,3.06830340145874,2.64785519003843,"K-Fold 3","G-BLUP","1"
"K-Fold 4",0.271803558707868,0.0854104774471175,2.85195258230564,3.2893139138021,"K-Fold 4","G-BLUP","1"
"K-Fold 5",0.279630645576284,0.0588113393906032,2.70568849843934,3.82956725378313,"K-Fold 5","G-BLUP","1"
"Mean",0.243972097251094,0.132115879509052,2.9492735542987,3.02428690804361,"Mean","G-BLUP","1"
" SD",0.0298822150318487,0.0634369283241021,0.164522872153912,0.534130130343283," SD","G-BLUP","1"
"K-Fold 11",0.2941911754052,0.10344234733799,1.43472045543922,1.64531153723198,"K-Fold 1","G-BLUP","2"
"K-Fold 21",0.260349083622205,0.215363013531817,1.47545684333969,1.52146505548571,"K-Fold 2","G-BLUP","2"
"K-Fold 31",0.239762037590345,0.266652684623183,1.49539954589855,1.48636721612386,"K-Fold 3","G-BLUP","2"
"K-Fold 41",0.28057133299976,0.146372257164585,1.47044910541547,1.48554083122222,"K-Fold 4","G-BLUP","2"
"K-Fold 51",0.281480958383633,0.144968879763863,1.4508061440104,1.53126549928596,"K-Fold 5","G-BLUP","2"
"Mean1",0.271270917600229,0.175359836484288,1.46536641882067,1.53399002786994,"Mean","G-BLUP","2"
" SD1",0.0213785924125614,0.0649435399895828,0.0233496025993955,0.06552105251422," SD","G-BLUP","2"
"K-Fold 12",0.464758928930116,0.220002797597484,0.726953251663528,0.883579158675151,"K-Fold 1","G-BLUP","3"
"K-Fold 22",0.416831587715774,0.377774346747368,0.733292839927541,0.876079548068393,"K-Fold 2","G-BLUP","3"
"K-Fold 32",0.465923779941635,0.216722525856283,0.736840289091087,0.840774074472916,"K-Fold 3","G-BLUP","3"
"K-Fold 42",0.419730076200708,0.404310204687123,0.776957474157046,0.68549836311992,"K-Fold 4","G-BLUP","3"
"K-Fold 52",0.417679238996048,0.395086467825184,0.759752692367435,0.778329488060084,"K-Fold 5","G-BLUP","3"
"Mean2",0.436984722356856,0.322779268542689,0.746759309441327,0.812852126479293,"Mean","G-BLUP","3"
" SD2",0.0259106587252193,0.0958007292412302,0.0209330470944505,0.0824476329390616," SD","G-BLUP","3"
"K-Fold 13",0.285443221065953,0.189436411928137,0.93985822730761,0.740467319331199,"K-Fold 1","G-BLUP","4"
"K-Fold 23",0.289221073306759,0.174201994343211,0.87729137196828,0.989613494900504,"K-Fold 2","G-BLUP","4"
"K-Fold 33",0.319989504562562,0.106736671666657,0.856197129263676,1.06920306047053,"K-Fold 3","G-BLUP","4"
"K-Fold 43",0.287747952403356,0.166542896712107,0.908335104331835,0.910137239892909,"K-Fold 4","G-BLUP","4"
"K-Fold 53",0.277820393818382,0.175188286241583,0.886343771304889,1.00867217548993,"K-Fold 5","G-BLUP","4"
"Mean3",0.292044429031403,0.162421252178339,0.893605120835258,0.943618658017015,"Mean","G-BLUP","4"
" SD3",0.0162269638237546,0.0322077722043108,0.0319160841295919,0.126994487148641," SD","G-BLUP","4"
"K-Fold 14",0.388081931340026,0.325096705248572,0.699010756847595,0.658627011704917,"K-Fold 1","G-BLUP","5"
"K-Fold 24",0.387003745646824,0.32327693103162,0.671360344800561,0.783628832132935,"K-Fold 2","G-BLUP","5"
"K-Fold 34",0.432307482242989,0.205523942364543,0.627990113350506,0.912164131529667,"K-Fold 3","G-BLUP","5"
"K-Fold 44",0.395049524824798,0.309702584143444,0.698500940596119,0.647916132237457,"K-Fold 4","G-BLUP","5"
"K-Fold 54",0.388108686109727,0.351242336461919,0.714850255032549,0.585130419340258,"K-Fold 5","G-BLUP","5"
"Mean4",0.398110274032873,0.30296849985002,0.682342482125466,0.717493305389047,"Mean","G-BLUP","5"
" SD4",0.0193827992432754,0.0565093860063572,0.0341704177374632,0.130476813655722," SD","G-BLUP","5"
"K-Fold 15",0.407794890999186,0.214405927144823,0.578331702425561,0.692917581520307,"K-Fold 1","G-BLUP","6"
"K-Fold 25",0.397913717859968,0.272340438308702,0.593238149137334,0.626882426188451,"K-Fold 2","G-BLUP","6"
"K-Fold 35",0.380736447258246,0.316408605197961,0.604835885286168,0.592402015108535,"K-Fold 3","G-BLUP","6"
"K-Fold 45",0.375319207626445,0.350923732364143,0.593772192787807,0.631826042040338,"K-Fold 4","G-BLUP","6"
"K-Fold 55",0.393545033850057,0.280612681036771,0.591697116404494,0.617022052444123,"K-Fold 5","G-BLUP","6"
"Mean5",0.391061859518781,0.28693827681048,0.592375009208273,0.632210023460351,"Mean","G-BLUP","6"
" SD5",0.0131106224772578,0.0511778530629051,0.00942927050687767,0.0371795990179876," SD","G-BLUP","6"
"K-Fold 16",0.328928507979209,0.21606100705813,2.30054120500377,2.41178037628795,"K-Fold 1","G-BLUP","7"
"K-Fold 26",0.353523445963915,0.173693142182227,2.16495424915572,2.81583127619279,"K-Fold 2","G-BLUP","7"
"K-Fold 36",0.343068787245457,0.176842159031494,2.29303144636367,2.3347061256395,"K-Fold 3","G-BLUP","7"
"K-Fold 46",0.319099971627794,0.270061438355348,2.36232183580083,2.12839807182857,"K-Fold 4","G-BLUP","7"
"K-Fold 56",0.343060570892978,0.234038272305781,2.26512636400237,2.26720465067714,"K-Fold 5","G-BLUP","7"
"Mean6",0.337536256741871,0.214139203786596,2.27719502006527,2.39158410012519,"Mean","G-BLUP","7"
" SD6",0.0135157973072559,0.0404781299644534,0.0720868480027703,0.25902016952803," SD","G-BLUP","7"
"K-Fold 17",0.414578201038747,0.292053061753537,0.938710489173204,1.10517035454182,"K-Fold 1","G-BLUP","8"
"K-Fold 27",0.378051725428194,0.430779986715951,1.00621621278831,0.846660220414446,"K-Fold 2","G-BLUP","8"
"K-Fold 37",0.442892521941648,0.189459668777691,0.93276308053643,1.10624566136627,"K-Fold 3","G-BLUP","8"
"K-Fold 47",0.415686268918749,0.295648250175367,0.949621676467996,1.0369404865038,"K-Fold 4","G-BLUP","8"
"K-Fold 57",0.394999281139317,0.395846315743471,0.963747537046183,0.940625729658511,"K-Fold 5","G-BLUP","8"
"Mean7",0.409241599693331,0.320757456633203,0.958211799202425,1.00712849049697,"Mean","G-BLUP","8"
" SD7",0.0243826246432593,0.0954421520063225,0.0293120994658738,0.112358643053004," SD","G-BLUP","8"
"K-Fold 18",0.446810078914993,0.286915777772171,0.76229929193294,0.855106773098982,"K-Fold 1","G-BLUP","9"
"K-Fold 28",0.432187143766118,0.435652400186498,0.759958928408189,0.757051017339018,"K-Fold 2","G-BLUP","9"
"K-Fold 38",0.438287961768152,0.325106358817847,0.764987172972227,0.843880936937988,"K-Fold 3","G-BLUP","9"
"K-Fold 48",0.47153382090853,0.257562974566952,0.731607429511185,0.92439499835183,"K-Fold 4","G-BLUP","9"
"K-Fold 58",0.416009679935618,0.44617833299939,0.806952144029411,0.642395012015569,"K-Fold 5","G-BLUP","9"
"Mean8",0.440965737058682,0.350283168868572,0.76516099337079,0.804565747548678,"Mean","G-BLUP","9"
" SD8",0.0204670653112336,0.0862121230012268,0.0269611894654969,0.10841601101623," SD","G-BLUP","9"
"K-Fold 19",0.536575751305234,0.441272234467492,0.509830317999664,0.581228456452179,"K-Fold 1","G-BLUP","10"
"K-Fold 29",0.536543116800004,0.484277662809418,0.519058063935028,0.528576697718905,"K-Fold 2","G-BLUP","10"
"K-Fold 39",0.523593536749045,0.501803688880682,0.524642971967347,0.511375215016762,"K-Fold 3","G-BLUP","10"
"K-Fold 49",0.539650979436867,0.376694663073396,0.512525121513083,0.604511325619981,"K-Fold 4","G-BLUP","10"
"K-Fold 59",0.544054484559464,0.398172322549569,0.51601544382968,0.552819412534118,"K-Fold 5","G-BLUP","10"
"Mean9",0.536083573770123,0.440444114356111,0.51641438384896,0.555702221468389,"Mean","G-BLUP","10"
" SD9",0.00762751999854876,0.0537074484130146,0.00577352025595415,0.0378909799540953," SD","G-BLUP","10"
"K-Fold 110",0.555727973567435,0.50491974646612,0.431349627492083,0.468276027179329,"K-Fold 1","G-BLUP","11"
"K-Fold 210",0.582684858714761,0.521400918492793,0.409904012951764,0.467311751103431,"K-Fold 2","G-BLUP","11"
"K-Fold 310",0.553306511845938,0.497919245096673,0.434610913376965,0.464405211864743,"K-Fold 3","G-BLUP","11"
"K-Fold 410",0.577774444540687,0.411568855505233,0.429060536011491,0.4593121597275,"K-Fold 4","G-BLUP","11"
"K-Fold 510",0.546033436012852,0.540359029861085,0.452912493854299,0.386823728401273,"K-Fold 5","G-BLUP","11"
"Mean10",0.563105444936335,0.495233559084381,0.43156751673732,0.449225775655255,"Mean","G-BLUP","11"
" SD10",0.0161278691671576,0.0495526401202945,0.0153338688495455,0.0350577399436325," SD","G-BLUP","11"
