"","Overall","marker","n.fold","method","variable"
"V1",5.78022444690774,"V1","1","BAG","1"
"V2",3.18979280043416,"V2","1","BAG","1"
"V3",4.51724644795792,"V3","1","BAG","1"
"V4",3.83763363282029,"V4","1","BAG","1"
"V5",2.21456852526553,"V5","1","BAG","1"
"V6",3.15199848697251,"V6","1","BAG","1"
"V7",2.35516416943938,"V7","1","BAG","1"
"V8",1.73942714800736,"V8","1","BAG","1"
"V9",2.01243188485363,"V9","1","BAG","1"
"V10",4.15430632442738,"V10","1","BAG","1"
"V11",2.09621884054512,"V11","1","BAG","1"
"V12",1.74005420650545,"V12","1","BAG","1"
"V13",2.64863102015586,"V13","1","BAG","1"
"V14",2.86126670102819,"V14","1","BAG","1"
"V15",3.19355165441352,"V15","1","BAG","1"
"V16",2.55470490985272,"V16","1","BAG","1"
"V17",1.96723373934717,"V17","1","BAG","1"
"V18",2.55286920449277,"V18","1","BAG","1"
"V19",0.536855134203102,"V19","1","BAG","1"
"V20",1.11045439006366,"V20","1","BAG","1"
"V21",1.89757211958018,"V21","1","BAG","1"
"V22",1.53754293492982,"V22","1","BAG","1"
"V23",1.63551333045831,"V23","1","BAG","1"
"V24",1.50919121616495,"V24","1","BAG","1"
"V25",1.82738001616883,"V25","1","BAG","1"
"V26",1.28213559673164,"V26","1","BAG","1"
"V27",1.74432222534788,"V27","1","BAG","1"
"V28",0.696956461914794,"V28","1","BAG","1"
"V29",1.4346243549005,"V29","1","BAG","1"
"V30",0.964914001304564,"V30","1","BAG","1"
"V31",1.64224847150034,"V31","1","BAG","1"
"V32",1.27165463698904,"V32","1","BAG","1"
"V33",1.48849729023821,"V33","1","BAG","1"
"V34",0.819730917978806,"V34","1","BAG","1"
"V35",0.953655863901131,"V35","1","BAG","1"
"V36",2.14467041351442,"V36","1","BAG","1"
"V37",1.8106953889283,"V37","1","BAG","1"
"V38",1.7219507158038,"V38","1","BAG","1"
"V39",1.44695190795809,"V39","1","BAG","1"
"V40",1.51898278447179,"V40","1","BAG","1"
"V41",1.79995035526858,"V41","1","BAG","1"
"V42",2.1539693782704,"V42","1","BAG","1"
"V43",1.15720577369453,"V43","1","BAG","1"
"V44",1.47537347846919,"V44","1","BAG","1"
"V45",1.1718450780329,"V45","1","BAG","1"
"V46",0.695700298556172,"V46","1","BAG","1"
"V47",1.44801991124707,"V47","1","BAG","1"
"V48",1.39359417048486,"V48","1","BAG","1"
"V49",2.18860100972058,"V49","1","BAG","1"
"V50",0.887584809431007,"V50","1","BAG","1"
"V51",0.970795770260186,"V51","1","BAG","1"
"V52",1.42033473996173,"V52","1","BAG","1"
"V53",1.24802479817119,"V53","1","BAG","1"
"V54",1.54037011399668,"V54","1","BAG","1"
"V55",1.00017478255687,"V55","1","BAG","1"
"V56",2.68777393784275,"V56","1","BAG","1"
"V57",1.69268078109407,"V57","1","BAG","1"
"V58",1.27202974491409,"V58","1","BAG","1"
"V59",1.40085359219986,"V59","1","BAG","1"
"V60",1.62035660912623,"V60","1","BAG","1"
"V61",1.61060994326264,"V61","1","BAG","1"
"V62",1.24567509515625,"V62","1","BAG","1"
"V63",2.58931376631845,"V63","1","BAG","1"
"V64",1.90411202349409,"V64","1","BAG","1"
"V65",1.50158402034082,"V65","1","BAG","1"
"V66",1.19474972703811,"V66","1","BAG","1"
"V67",2.25319477046656,"V67","1","BAG","1"
"V68",1.2156436429615,"V68","1","BAG","1"
"V69",2.64628855086895,"V69","1","BAG","1"
"V70",0.777933184754449,"V70","1","BAG","1"
"V71",1.09213508015431,"V71","1","BAG","1"
"V72",3.0306722681928,"V72","1","BAG","1"
"V73",1.26503679037552,"V73","1","BAG","1"
"V74",1.5348316389422,"V74","1","BAG","1"
"V75",0.935349009315131,"V75","1","BAG","1"
"V76",1.70886277030267,"V76","1","BAG","1"
"V77",2.98436141723109,"V77","1","BAG","1"
"V78",4.84113059534177,"V78","1","BAG","1"
"V79",2.07088124502839,"V79","1","BAG","1"
"V80",1.62227862439405,"V80","1","BAG","1"
"V81",0.963290594169856,"V81","1","BAG","1"
"V82",1.91457458694845,"V82","1","BAG","1"
"V83",3.02596051081087,"V83","1","BAG","1"
"V84",1.42143142758864,"V84","1","BAG","1"
"V85",2.37437615693333,"V85","1","BAG","1"
"V86",1.3097039131185,"V86","1","BAG","1"
"V87",3.01895390475302,"V87","1","BAG","1"
"V88",1.97356873535956,"V88","1","BAG","1"
"V89",3.26907205606132,"V89","1","BAG","1"
"V90",6.01600364975434,"V90","1","BAG","1"
"V91",2.84304582780224,"V91","1","BAG","1"
"V92",2.16308589939871,"V92","1","BAG","1"
"V93",2.09320279144737,"V93","1","BAG","1"
"V94",3.09859938611504,"V94","1","BAG","1"
"V95",1.73023495718026,"V95","1","BAG","1"
"V96",2.29726962851584,"V96","1","BAG","1"
"V97",4.1637224283667,"V97","1","BAG","1"
"V98",1.35834127316256,"V98","1","BAG","1"
"V99",2.19794418406852,"V99","1","BAG","1"
"V100",0.562631719096954,"V100","1","BAG","1"
"V101",2.43383872778282,"V101","1","BAG","1"
"V102",1.46898040204048,"V102","1","BAG","1"
"V103",1.1705538734405,"V103","1","BAG","1"
"V104",1.35177383713039,"V104","1","BAG","1"
"V105",1.13704269366474,"V105","1","BAG","1"
"V106",2.25828145958836,"V106","1","BAG","1"
"V107",2.72140492924346,"V107","1","BAG","1"
"V108",2.7132540897409,"V108","1","BAG","1"
"V109",2.08803979174144,"V109","1","BAG","1"
"V110",1.90239211555247,"V110","1","BAG","1"
"V111",2.24756217284855,"V111","1","BAG","1"
"V112",2.72451620579569,"V112","1","BAG","1"
"V113",1.63981762254186,"V113","1","BAG","1"
"V114",1.89284746669021,"V114","1","BAG","1"
"V115",1.36791642514048,"V115","1","BAG","1"
