"","Overall","marker","n.fold","method","variable"
"V1",3.00572270087251,"V1","1","RF","1"
"V2",2.37061917620438,"V2","1","RF","1"
"V3",3.22863587476511,"V3","1","RF","1"
"V4",3.98691487171522,"V4","1","RF","1"
"V5",1.35240159159924,"V5","1","RF","1"
"V6",3.20552559477029,"V6","1","RF","1"
"V7",1.50933497394575,"V7","1","RF","1"
"V8",2.8309407499116,"V8","1","RF","1"
"V9",4.61092124230487,"V9","1","RF","1"
"V10",3.66722506560977,"V10","1","RF","1"
"V11",2.24914998878536,"V11","1","RF","1"
"V12",2.08450476000358,"V12","1","RF","1"
"V13",1.90986795676016,"V13","1","RF","1"
"V14",0.975214917315603,"V14","1","RF","1"
"V15",1.89884979790087,"V15","1","RF","1"
"V16",1.77534092440261,"V16","1","RF","1"
"V17",2.3185167081641,"V17","1","RF","1"
"V18",2.53170475070701,"V18","1","RF","1"
"V19",0.956157773916518,"V19","1","RF","1"
"V20",1.37387167828684,"V20","1","RF","1"
"V21",1.70780829425064,"V21","1","RF","1"
"V22",0.931035076440655,"V22","1","RF","1"
"V23",1.17627673568252,"V23","1","RF","1"
"V24",0.833840122267588,"V24","1","RF","1"
"V25",1.85468325835349,"V25","1","RF","1"
"V26",1.77185801639599,"V26","1","RF","1"
"V27",1.4887829102128,"V27","1","RF","1"
"V28",0.829670824878733,"V28","1","RF","1"
"V29",1.67994233426464,"V29","1","RF","1"
"V30",1.25044464646325,"V30","1","RF","1"
"V31",1.12736151624773,"V31","1","RF","1"
"V32",0.945608035204099,"V32","1","RF","1"
"V33",1.97985372982608,"V33","1","RF","1"
"V34",1.39698769144219,"V34","1","RF","1"
"V35",1.1531862204936,"V35","1","RF","1"
"V36",2.40633988153896,"V36","1","RF","1"
"V37",1.69240761678678,"V37","1","RF","1"
"V38",2.36262230553076,"V38","1","RF","1"
"V39",1.11519951673624,"V39","1","RF","1"
"V40",3.22263178433682,"V40","1","RF","1"
"V41",1.4097301201491,"V41","1","RF","1"
"V42",2.49753869054008,"V42","1","RF","1"
"V43",1.68931607117164,"V43","1","RF","1"
"V44",1.55487907033393,"V44","1","RF","1"
