"R2Trein","R2Val","REQMTrein","REQMVal","nfold","method","variable"
0.206123436039563,0.217944409168203,3.05320554918675,2.4821021825235,"KFold1","RBF",1
0.181994528425356,0.144923786774985,3.09292875529787,2.79404247797583,"KFold2","RBF",1
0.184387480806068,0.236091943733329,3.07762042028842,2.57554019013752,"KFold3","RBF",1
0.242753432929283,0.0844387394595601,2.8555197986496,3.28780803293357,"KFold4","RBF",1
0.227309832255613,0.0517696109386759,2.7594816135948,3.837865874494,"KFold5","RBF",1
0.208513742091177,0.147033698014951,2.96775122740349,2.99547175161289,"Mean","RBF",1
0.0265363344031814,0.0805566988759512,0.150843644034586,0.564701899835029,"SD","RBF",1
0.413783837396728,0.421691205360803,0.569781607461426,0.602209714562665,"KFold1","RBF",10
0.363992939533933,0.499584827485281,0.603539773193236,0.524756080279501,"KFold2","RBF",10
0.369512835413524,0.502710116952095,0.599432881994873,0.518114037299273,"KFold3","RBF",10
0.502884189930329,0.385177738749587,0.529322087692436,0.600354238428569,"KFold4","RBF",10
0.39310358990274,0.417813246810816,0.591462203312209,0.545039322102602,"KFold5","RBF",10
0.408655478435451,0.445395427071717,0.578707710730836,0.558094678534522,"Mean","RBF",10
0.0562896532597827,0.0528448237176349,0.0305264484240126,0.0406582185571341,"SD","RBF",10
0.51082814084635,0.541855757775687,0.449817459500543,0.451022562052673,"KFold1","RBF",11
0.530116063667028,0.511227838491011,0.432271137574052,0.472706344184698,"KFold2","RBF",11
0.508934437401832,0.525653951703119,0.452753850162732,0.451463430733478,"KFold3","RBF",11
0.532215820269648,0.403670439663525,0.449088696931015,0.462588199770554,"KFold4","RBF",11
0.514303958678171,0.596779514106042,0.465439368813124,0.362465935078712,"KFold5","RBF",11
0.519279684172606,0.515837500347877,0.449874102596293,0.440049294364023,"Mean","RBF",11
0.0110451493562569,0.07058261208155,0.0118432988069289,0.0442841899291824,"SD","RBF",11
0.491212783503429,0.495069519114897,0.41709855037013,0.414865930689471,"KFold1","RBF",12
0.529668479258788,0.416393866602346,0.397075879626174,0.463902937711885,"KFold2","RBF",12
0.501990259424829,0.341981017495403,0.39463956400423,0.548719570632245,"KFold3","RBF",12
0.468697854467045,0.530399303906323,0.442568117006724,0.330469219501542,"KFold4","RBF",12
0.502906477445751,0.547143769040608,0.416850611990258,0.370718965248723,"KFold5","RBF",12
0.498895170819968,0.466197495231915,0.413646544599503,0.425735324756773,"Mean","RBF",12
0.0220429334276801,0.0857582357701202,0.019329329988378,0.0848564460775666,"SD","RBF",12
0.452416628984161,0.38573293709475,1.63348339758046,1.71024731808388,"KFold1","RBF",13
0.503825543737833,0.3866332017601,1.55677792175432,1.69943179094888,"KFold2","RBF",13
0.455267859246645,0.423415554835527,1.60303273070564,1.73855476474497,"KFold3","RBF",13
0.458429471316526,0.419848991032583,1.64408401782959,1.56301887736483,"KFold4","RBF",13
0.515179099895662,0.411487355564594,1.51850617496883,1.73833783951005,"KFold5","RBF",13
0.477023720636165,0.405423608057511,1.59117684856777,1.68991811813052,"Mean","RBF",13
0.0299947631268365,0.0180926279769938,0.0529005849617262,0.0730020487050147,"SD","RBF",13
0.578216799943026,0.546966517011855,0.663942752509459,0.71450495224993,"KFold1","RBF",14
0.555343227698485,0.499408032129657,0.682055390198216,0.748318558787697,"KFold2","RBF",14
0.552031729159889,0.547183611570992,0.690437002916372,0.69684174149824,"KFold3","RBF",14
0.516395628388767,0.433381322029691,0.731565612670316,0.700701861047662,"KFold4","RBF",14
0.561081861952657,0.562166025528912,0.674570309534324,0.710029453436165,"KFold5","RBF",14
0.552613849428565,0.517821101654221,0.688514213565737,0.714079313403939,"Mean","RBF",14
0.022620600214126,0.0527901553577684,0.0259664477793888,0.0204021970347778,"SD","RBF",14
0.504986889476018,0.425101155762637,0.535630190646194,0.590068809265228,"KFold1","RBF",15
0.508552480088997,0.558649954751623,0.527574320775946,0.545798890779962,"KFold2","RBF",15
0.464974673519164,0.575966912279498,0.562952228557796,0.489806463097339,"KFold3","RBF",15
0.474109869602848,0.554577862770952,0.561838014430959,0.483986684388195,"KFold4","RBF",15
0.520070808463613,0.529451687127161,0.531544994400923,0.517834135408508,"KFold5","RBF",15
0.494538944230128,0.528749514538374,0.543907949762363,0.525498996587846,"Mean","RBF",15
0.0237107993916494,0.0602787231742289,0.0171196025872274,0.0436958966077882,"SD","RBF",15
0.55803955874338,0.563120717808882,0.436670506733392,0.462407940366863,"KFold1","RBF",16
0.55287672633491,0.617756978580199,0.443285019274743,0.418391566262821,"KFold2","RBF",16
0.566952113092474,0.657264242159224,0.430966951431427,0.412277574749173,"KFold3","RBF",16
0.585503595292472,0.598645100652428,0.432641939295545,0.388448768514534,"KFold4","RBF",16
0.568872928428054,0.626960293583194,0.431508976234449,0.417347158457163,"KFold5","RBF",16
0.566448984378258,0.612749466556785,0.435014678593911,0.419774601670111,"Mean","RBF",16
0.0124913116630668,0.0348946051282326,0.00513430223588318,0.0267531309918402,"SD","RBF",16
0.607026550709053,0.575674681345365,0.337141124502942,0.34421712812001,"KFold1","RBF",17
0.564220633238443,0.690897484378628,0.347305469996767,0.318744602431844,"KFold2","RBF",17
0.586197832840808,0.723029361737421,0.348003767306161,0.294273710266308,"KFold3","RBF",17
0.661543799279714,0.650236229462449,0.318911592746467,0.291447505410967,"KFold4","RBF",17
0.593933752465383,0.690091781398318,0.339104597907884,0.326901584163048,"KFold5","RBF",17
0.60258451370668,0.665985907664436,0.338093310492044,0.315116906078436,"Mean","RBF",17
0.0364385625143475,0.0567005410427413,0.0117574305555167,0.0223245441212093,"SD","RBF",17
0.586140522160784,0.603419100104289,0.296417364512373,0.284051577244608,"KFold1","RBF",18
0.555909196260186,0.525421904148735,0.294815627639292,0.360654469685591,"KFold2","RBF",18
0.62101306820261,0.695933821570692,0.278368930722485,0.267352321928875,"KFold3","RBF",18
0.629615000494597,0.635577588135486,0.285476437992323,0.247400193163834,"KFold4","RBF",18
0.510695816685772,0.680457001982538,0.325745234335744,0.252389116041145,"KFold5","RBF",18
0.58067472076079,0.628161883188348,0.296164719040443,0.282369535612811,"Mean","RBF",18
0.0488942390753631,0.0681001401787591,0.0180818983800087,0.0460395410019109,"SD","RBF",18
0.360873406180882,0.13464412637954,1.35381397868298,1.61381901846894,"KFold1","RBF",2
0.260101318020246,0.252489279227206,1.46159550579336,1.49715737350701,"KFold2","RBF",2
0.268508187002259,0.289978380699926,1.45341703883679,1.44361909729071,"KFold3","RBF",2
0.314097193539649,0.216845536230216,1.42322880092998,1.42826569033459,"KFold4","RBF",2
0.303321480430687,0.19379546427095,1.41597284671726,1.48469787276362,"KFold5","RBF",2
0.301380317034745,0.217550557361567,1.42160563419207,1.49351181047298,"Mean","RBF",2
0.0402785532635938,0.0589592691606971,0.0425476991675682,0.0729916758017029,"SD","RBF",2
0.467961156772657,0.240253610215361,0.719364500920063,0.867667948600766,"KFold1","RBF",3
0.453142892100657,0.387083317515895,0.704597661431994,0.865990815052618,"KFold2","RBF",3
0.413377947897059,0.232465373562848,0.766922479270151,0.816194550263977,"KFold3","RBF",3
0.431306210620386,0.431958030508843,0.763366345482347,0.669372904306036,"KFold4","RBF",3
0.41752663379745,0.39082543475195,0.754148779414263,0.774099603048462,"KFold5","RBF",3
0.436662968237642,0.336517153310979,0.741679953303764,0.798665164254372,"Mean","RBF",3
0.0233893716051886,0.0931513956334572,0.0280001434505849,0.0820386527143536,"SD","RBF",3
0.289125677133239,0.249852011467921,0.92799439304486,0.709048882165424,"KFold1","RBF",4
0.256764143352922,0.257796119167952,0.886823447006542,0.940119221176451,"KFold2","RBF",4
0.329678061887383,0.137403857471962,0.841545018388023,1.04600516786514,"KFold3","RBF",4
0.28105618826562,0.180567061284634,0.903166708598207,0.902515928057717,"KFold4","RBF",4
0.296302938231591,0.171049760825724,0.867333198673489,1.01189622786027,"KFold5","RBF",4
0.290585401774151,0.199333762043639,0.885372553142224,0.921917085424999,"Mean","RBF",4
0.0264468359411145,0.0523388660269663,0.0330969387193232,0.131828195854605,"SD","RBF",4
0.402512321054484,0.331518262483513,0.684788051841295,0.656972259357451,"KFold1","RBF",5
0.374367076599129,0.311587788776724,0.672372861009564,0.788195709548678,"KFold2","RBF",5
0.412570912663494,0.19627287900717,0.633428041483398,0.917790669741443,"KFold3","RBF",5
0.338092744805123,0.338221042056366,0.724567664680679,0.640162378744464,"KFold4","RBF",5
0.332770749891575,0.3914662901211,0.739656361685691,0.567476839947269,"KFold5","RBF",5
0.372062761002761,0.313813252488975,0.690962596140126,0.714119571467861,"Mean","RBF",5
0.0363015842158073,0.0720414705411852,0.0424096441381335,0.138932324217338,"SD","RBF",5
0.412164956345696,0.237791256318778,0.571799506637886,0.682388836617962,"KFold1","RBF",6
0.361509398070462,0.313798856610113,0.605734391499932,0.608474534705729,"KFold2","RBF",6
0.358803438872388,0.314422309467442,0.610410611826417,0.593833132155092,"KFold3","RBF",6
0.387773588685505,0.353021838062622,0.58319324186593,0.625277479996522,"KFold4","RBF",6
0.393495827052012,0.285126352673872,0.587076151842836,0.615045034894291,"KFold5","RBF",6
0.382749441805213,0.300832122626565,0.5916427807346,0.625003803673919,"Mean","RBF",6
0.0225308114464492,0.0427124624685519,0.016099761731608,0.0340482065455802,"SD","RBF",6
0.357099314379581,0.21490041984703,2.21762366463128,2.41201553703802,"KFold1","RBF",7
0.347528192520578,0.173008463651183,2.14093761492987,2.82327264185851,"KFold2","RBF",7
0.37250886948205,0.187528243836053,2.20729644285871,2.33109974139997,"KFold3","RBF",7
0.314756416299312,0.295355881188579,2.33270052944159,2.08496034832361,"KFold4","RBF",7
0.351926725370918,0.253271766572583,2.2154268179139,2.24005524440016,"KFold5","RBF",7
0.348763903610488,0.224812955019086,2.22279701395507,2.37828070260406,"Mean","RBF",7
0.0212211103240201,0.0498956955934543,0.0691033554943015,0.276823506808377,"SD","RBF",7
0.383721475815192,0.279453463423027,0.955115049091693,1.11208684871961,"KFold1","RBF",8
0.368860240822127,0.4380161019179,1.00474682005832,0.839859366895901,"KFold2","RBF",8
0.442375877340973,0.212131390237132,0.925916266537082,1.07669880024344,"KFold3","RBF",8
0.414080250103001,0.312581724599872,0.94336025867752,1.02446341583512,"KFold4","RBF",8
0.406145938239262,0.43249278623186,0.946853746466354,0.908129072243615,"KFold5","RBF",8
0.403036756464111,0.334935093281958,0.955198428166193,0.992247500787536,"Mean","RBF",8
0.0283738721467514,0.0984909026507942,0.029674362041808,0.114923245958554,"SD","RBF",8
0.417032861313506,0.344611163095528,0.776628791052701,0.819689619376585,"KFold1","RBF",9
0.469509068014965,0.493563546218631,0.729349807960185,0.731613703514444,"KFold2","RBF",9
0.416451715662782,0.349712094312981,0.773666161235207,0.828208371119513,"KFold3","RBF",9
0.466794089703942,0.287233442633312,0.729286441044596,0.904905097440813,"KFold4","RBF",9
0.439455167138348,0.489526470103725,0.784718034468256,0.61797062241,"KFold5","RBF",9
0.441848580366709,0.392929343272836,0.758729847152189,0.780477482772271,"Mean","RBF",9
0.0257581544798536,0.0933169977413321,0.0271521289094222,0.109651959900126,"SD","RBF",9
