"","R².Trein","R².Val","REQM.Trein","REQM.Val","n.Fold","method","variable"
"K-Fold 1",0.103510250659412,0.224459874811724,3.24465163606647,2.69938905702699,"K-Fold 1","RF","1"
"K-Fold 2",0.109016766744412,0.242015001435651,3.22977786993471,2.64723245791926,"K-Fold 2","RF","1"
"K-Fold 3",0.124429526484202,0.244468859970609,3.18894358316834,2.75567720646893,"K-Fold 3","RF","1"
"K-Fold 4",0.136708278444553,0.155335786249614,3.04905146667436,3.32000781918014,"K-Fold 4","RF","1"
"K-Fold 5",0.205437032434767,0.0358238345883168,2.80109369672552,4.03964326704415,"K-Fold 5","RF","1"
"Mean",0.135820370953469,0.180420671411183,3.10270365051388,3.09238996152789,"Mean","RF","1"
" SD",0.0410469132373241,0.088562096954353,0.185459924837596,0.594787589671867," SD","RF","1"
"K-Fold 11",0.208171534857783,0.122234850342711,1.52546351799654,1.63863853901133,"K-Fold 1","RF","2"
"K-Fold 21",0.180545057774826,0.220198530935271,1.55195156115162,1.54419829208795,"K-Fold 2","RF","2"
"K-Fold 31",0.161541274372015,0.27352917632988,1.56641292912609,1.51087758425593,"K-Fold 3","RF","2"
"K-Fold 41",0.178196092357769,0.196054888512521,1.56939600830869,1.50641892932393,"K-Fold 4","RF","2"
"K-Fold 51",0.189093615199065,0.1765783847762,1.54160634967511,1.60914495848854,"K-Fold 5","RF","2"
"Mean1",0.183509514912292,0.197719166179316,1.55096607325161,1.56185566063354,"Mean","RF","2"
" SD1",0.0170222021313546,0.0556777870309757,0.0181467889651507,0.0594046846153725," SD","RF","2"
"K-Fold 12",0.330703378896952,0.158323032557032,0.823044444550843,0.916518868632574,"K-Fold 1","RF","3"
"K-Fold 22",0.297454321930235,0.391740494764496,0.817842354729746,0.945969651678959,"K-Fold 2","RF","3"
"K-Fold 32",0.3336188401799,0.287892014314399,0.841454724032935,0.79900640771291,"K-Fold 3","RF","3"
"K-Fold 42",0.302958094066835,0.427353814871323,0.864572179809082,0.713711897426281,"K-Fold 4","RF","3"
"K-Fold 52",0.307476634874535,0.405705471754558,0.8416949032437,0.805948892892335,"K-Fold 5","RF","3"
"Mean2",0.314442253989691,0.334202965652362,0.837721721273261,0.836231143668612,"Mean","RF","3"
" SD2",0.0165918749363051,0.112003026102962,0.0184477659508928,0.0946075053828498," SD","RF","3"
"K-Fold 13",0.150289967471859,0.152021872642523,1.01677765372375,0.781475188136928,"K-Fold 1","RF","4"
"K-Fold 23",0.145122304940357,0.2036807128171,0.954327358095152,1.05278016124573,"K-Fold 2","RF","4"
"K-Fold 33",0.17938757716152,0.0893470229269039,0.937600835338298,1.09861074544095,"K-Fold 3","RF","4"
"K-Fold 43",0.155210284336709,0.182512400273039,0.982825649348099,0.912072173617998,"K-Fold 4","RF","4"
"K-Fold 53",0.1567589575564,0.162983691608564,0.952695959113255,1.04008310016839,"K-Fold 5","RF","4"
"Mean3",0.157353818293369,0.158109140053626,0.96884549112371,0.977004273721997,"Mean","RF","4"
" SD3",0.0131333833637129,0.043189501567563,0.0313876931353513,0.129380116684755," SD","RF","4"
"K-Fold 14",0.204474260222334,0.305125169947355,0.79559514897646,0.713162997296956,"K-Fold 1","RF","5"
"K-Fold 24",0.241642811157226,0.229123589983663,0.747588695536902,0.8591838452675,"K-Fold 2","RF","5"
"K-Fold 34",0.264531591543432,0.19054231568155,0.719657524104572,0.951598869990871,"K-Fold 3","RF","5"
"K-Fold 44",0.245282934597374,0.28535089019039,0.783299394538981,0.711476421659101,"K-Fold 4","RF","5"
"K-Fold 54",0.202310278228277,0.339988145936333,0.814625724033924,0.601835517016028,"K-Fold 5","RF","5"
"Mean4",0.231648375149729,0.270026022347858,0.772153297438168,0.767451530246091,"Mean","RF","5"
" SD4",0.027231655916847,0.0599002693490076,0.0381997669806895,0.137690033938173," SD","RF","5"
