"ngenes","herd","method","R2.mean","REQM.mean","R2.sd","REQM.sd","family"
"8","30 %","BA",16.3067321648761,268.286813204518,8.66311895262541,115.300180149481,"TREE"
"8","30 %","BO",10.3431714968436,282.381821541082,5.20992057655481,121.679221594164,"TREE"
"8","30 %","DT",8.77957626240375,286.329698699514,4.56788075800535,123.829454899351,"TREE"
"8","30 %","G-BLUP",12.0669387644894,260.926077842689,6.32892420252862,112.326137942166,"G-BLUP"
"8","30 %","MARS 1",15.3456901878653,337.88334964342,7.91466209340886,49.6828006709299,"MARS"
"8","30 %","MARS 2",11.6248617459398,337.88334964342,5.33056277714945,49.6828006709299,"MARS"
"8","30 %","MARS 3",11.4535842201468,337.88334964342,5.58081266848263,49.6828006709299,"MARS"
"8","30 %","MLP",6.552526100823,372.936098695056,2.23919864369388,38.1556266609626,"NETWORK"
"8","30 %","RBF",14.7033698014951,299.547175161288,8.05566988759512,56.4701899835028,"NETWORK"
"8","30 %","RF",16.5110909001711,267.612289955189,8.76409091906775,115.008148527787,"TREE"
"8","50 %","BA",33.4025546020269,188.226412829879,14.8829388741856,82.786976289936,"TREE"
"8","50 %","BO",30.12297422438,196.682880995542,12.9465259846201,86.2893290472038,"TREE"
"8","50 %","DT",27.7402745073912,199.359975724281,12.6381639466645,89.5543439669617,"TREE"
"8","50 %","G-BLUP",18.5195691482906,203.6156778359,7.96061846289509,90.0913228299595,"G-BLUP"
"8","50 %","MARS 1",39.1242320558786,245.388009158941,6.98554560689286,26.7759883177755,"MARS"
"8","50 %","MARS 2",43.2079020857055,245.388009158941,3.89207050064274,26.7759883177755,"MARS"
"8","50 %","MARS 3",42.9695958773571,245.388009158941,3.8164090016065,26.7759883177755,"MARS"
"8","50 %","MLP",16.8392543013406,267.097407994744,5.89390353334591,28.7903654311158,"NETWORK"
"8","50 %","RBF",22.4812955019086,237.828070260405,4.98956955934541,27.6823506808378,"NETWORK"
"8","50 %","RF",33.9758369929257,187.771011878669,15.1266050889842,82.4999637191394,"TREE"
"8","80 %","BA",57.7669836985933,107.5069392248,27.0527819512763,48.1402909943982,"TREE"
"8","80 %","BO",56.4962680924079,110.085511705976,26.1096486787764,49.1290577805791,"TREE"
"8","80 %","DT",50.2003236934616,121.41950303603,22.8133133352058,54.3650415070306,"TREE"
"8","80 %","G-BLUP",32.1424111235593,144.779348769135,14.309868947705,68.3423827743418,"G-BLUP"
"8","80 %","MARS 1",59.9261420238628,153.701143891128,4.7749724437174,12.4113134704692,"MARS"
"8","80 %","MARS 2",78.5674861271446,153.485991899415,4.82890917351525,12.8922605055608,"MARS"
"8","80 %","MARS 3",77.6239498786341,153.485991899415,5.63897263813228,12.8922605055608,"MARS"
"8","80 %","MLP",30.9812294272102,190.67150994489,2.53107487343252,13.1726464461483,"NETWORK"
"8","80 %","RBF",40.5423608057511,168.991811813052,1.80926279769939,7.30020487050146,"NETWORK"
"8","80 %","RF",57.4256087215749,108.399425115121,26.7470506121622,48.4513248585595,"TREE"
"40","30 %","BA",20.2156751094909,155.897362951854,4.76526274135312,5.21368484167011,"TREE"
"40","30 %","BO",14.7349538754245,163.390000750423,4.84337616127868,9.09560672764908,"TREE"
"40","30 %","DT",2.16747359045701,184.967023361142,2.1499551160095,8.61157405398483,"TREE"
"40","30 %","G-BLUP",17.5359836484288,153.399002786995,6.49435399895825,6.55210525142214,"G-BLUP"
"40","30 %","MARS 1",6.31141925698747,171.221070235848,0.740963133584839,4.01095728662173,"MARS"
"40","30 %","MARS 2",4.50548069711687,171.221070235848,1.16371431186575,4.01095728662173,"MARS"
"40","30 %","MARS 3",4.95043101664273,171.221070235848,1.76342910589891,4.01095728662173,"MARS"
"40","30 %","MLP",8.42136848799942,177.146408930937,3.76961189737026,14.8788464766307,"NETWORK"
"40","30 %","RBF",21.7550557361568,149.351181047297,5.89592691606972,7.2991675801704,"NETWORK"
"40","30 %","RF",19.7719166179317,156.185566063354,5.56777870309757,5.94046846153725,"TREE"
"40","50 %","BA",31.6547367798801,107.559205841672,11.4636435650929,11.1634255631831,"TREE"
"40","50 %","BO",28.2111277369249,108.962539436553,8.66802495216948,12.2706521989899,"TREE"
"40","50 %","DT",7.06990713931374,128.488847456693,2.20148033022525,4.18385061976909,"TREE"
"40","50 %","G-BLUP",32.0757456633203,100.712849049697,9.54421520063226,11.2358643053004,"G-BLUP"
"40","50 %","MARS 1",16.0359556186941,125.278075393538,4.56353186826243,7.41770033739218,"MARS"
"40","50 %","MARS 2",15.2997234830799,125.278075393538,4.27577024226062,7.41770033739218,"MARS"
"40","50 %","MARS 3",16.1338008501871,125.278075393538,4.372330630965,7.41770033739218,"MARS"
"40","50 %","MLP",25.9272311650393,111.320625738377,6.63820353590532,11.6117182941623,"NETWORK"
"40","50 %","RBF",33.4935093281958,99.2247500787537,9.84909026507944,11.4923245958555,"NETWORK"
"40","50 %","RF",31.6769898665656,107.645571790875,11.2185349848247,11.1337600237436,"TREE"
"40","80 %","BA",48.7289070825044,79.7683976914372,4.26642747219995,4.39531068084991,"TREE"
"40","80 %","BO",49.3428147705391,73.6153341948768,4.06248177800641,3.09367799390354,"TREE"
"40","80 %","DT",10.6410957714814,103.725870544674,6.2771330888558,9.04957741617179,"TREE"
"40","80 %","G-BLUP",46.2457025803374,75.2013872960571,4.51563431823323,2.14410937706743,"G-BLUP"
"40","80 %","MARS 1",23.4833372634652,99.5779889416121,6.61052993959619,5.37098566969314,"MARS"
"40","80 %","MARS 2",35.8782974064136,99.5779889416121,7.06972934207539,5.37098566969314,"MARS"
"40","80 %","MARS 3",33.3635050876486,99.5779889416121,9.60343707806305,5.37098566969314,"MARS"
"40","80 %","MLP",42.1129473208686,80.7401529129639,6.80882313198087,4.62521681963051,"NETWORK"
"40","80 %","RBF",51.7821101654221,71.4079313403939,5.27901553577683,2.04021970347779,"NETWORK"
"40","80 %","RF",48.6636465451463,79.7605836248759,4.79952104610701,4.43766690866091,"TREE"
"80","30 %","BA",30.0592114050616,71.1743626108813,13.7595813630863,31.3312587783168,"TREE"
"80","30 %","BO",24.9047620931526,72.4333519940907,10.7297227898536,32.422995633976,"TREE"
"80","30 %","DT",11.0703041787286,84.8121511744033,6.65970458305108,37.0652144603547,"TREE"
"80","30 %","G-BLUP",28.4949511992445,69.1118044222588,12.6209217818768,30.716967695249,"G-BLUP"
"80","30 %","MARS 1",21.5869476672987,98.5446577983041,5.62463647607105,9.65567759368964,"MARS"
"80","30 %","MARS 2",22.7291395475595,98.4501186726107,4.67303950834351,9.57942684795555,"MARS"
"80","30 %","MARS 3",23.0149484847051,98.4501186726107,4.30942314228718,9.57942684795555,"MARS"
"80","30 %","MLP",27.7707460508926,87.354670866792,7.39656019497398,7.94864070073603,"NETWORK"
"80","30 %","RBF",33.6517153310979,79.8665164254372,9.31513956334572,8.20386527143539,"NETWORK"
"80","30 %","RF",29.7169642394128,71.2627203954318,13.5146381654373,31.4369317105186,"TREE"
"80","50 %","BA",31.0149557945454,74.3641366752672,13.4013882949831,32.6234935838216,"TREE"
"80","50 %","BO",28.3731659647825,74.949162313175,12.4020976848203,32.9272409535613,"TREE"
"80","50 %","DT",4.98703497184328,91.9205457992499,3.34627499455181,41.0556336570862,"TREE"
"80","50 %","G-BLUP",30.6271327890681,68.8540791459936,13.2545377133576,30.0289806300685,"G-BLUP"
"80","50 %","MARS 1",17.7991217599325,102.868210004712,5.42658139751521,8.39535979917556,"MARS"
"80","50 %","MARS 2",20.5153013470053,102.868210004712,4.90589792928221,8.39535979917556,"MARS"
"80","50 %","MARS 3",20.7754458533477,102.868210004712,4.49510190360022,8.39535979917556,"MARS"
"80","50 %","MLP",28.1943179152972,87.8892336819362,7.43214715952765,11.8811800169799,"NETWORK"
"80","50 %","RBF",39.2929343272835,78.0477482772271,9.33169977413324,10.9651959900126,"NETWORK"
"80","50 %","RF",31.2759993335942,74.2437044287156,13.5083386982176,32.5719943526841,"TREE"
"80","80 %","BA",43.4420841637101,49.2074994608029,19.4031348998176,22.3864183268749,"TREE"
"80","80 %","BO",45.5294585223467,44.0638593849747,21.188165310016,20.1356639003432,"TREE"
"80","80 %","DT",7.60183133392049,66.4171625299014,3.90890110681442,30.9843236479853,"TREE"
"80","80 %","G-BLUP",45.4991532815349,43.6401916329991,20.8582846991771,19.9266055216803,"G-BLUP"
"80","80 %","MARS 1",29.8590533746981,71.016606784839,4.97681958024548,5.12932778280339,"MARS"
"80","80 %","MARS 2",37.6673596669328,71.016606784839,5.1247350765389,5.12932778280339,"MARS"
"80","80 %","MARS 3",38.4078915288102,71.016606784839,4.80362682314305,5.12932778280339,"MARS"
"80","80 %","MLP",50.4985712235067,55.3836134606758,4.32005245619632,4.42503148763976,"NETWORK"
"80","80 %","RBF",52.8749514538374,52.5498996587846,6.02787231742288,4.36958966077883,"NETWORK"
"80","80 %","RF",44.0783249391668,49.0250238578202,19.6620370478383,22.3108593850451,"TREE"
"120","30 %","BA",15.8946394471408,97.6594305025329,4.1173141808247,13.0106773374898,"TREE"
"120","30 %","BO",14.2184736998994,100.659089235351,4.35366465424107,12.1039693859981,"TREE"
"120","30 %","DT",3.55136135259579,113.297030877218,2.93389863720635,12.8028673720377,"TREE"
"120","30 %","G-BLUP",16.2421252178339,94.3618658017014,3.22077722043107,12.699448714864,"G-BLUP"
"120","30 %","MARS 1",8.29224940358642,105.618974470067,2.16305895083173,13.7124819659053,"MARS"
"120","30 %","MARS 2",7.0821097517667,105.618974470067,4.5122113509086,13.7124819659053,"MARS"
"120","30 %","MARS 3",6.9748931793986,105.618974470067,2.9562589524029,13.7124819659053,"MARS"
"120","30 %","MLP",6.98866970081714,126.530669375679,3.12693804285452,19.0732900091113,"NETWORK"
