Trait,Rep,Fold,Log,Ac,MSPE
Prod.Cor,1,1,TRUE,0.113,10.468
Prod.Cor,1,2,TRUE,0.02,10.885
Prod.Cor,1,3,TRUE,-0.314,8.696
Prod.Cor,1,4,TRUE,0.102,6.3
Prod.Cor,1,5,TRUE,-0.044,11.074
Prod.Cor,2,1,TRUE,0.113,10.468
Prod.Cor,2,2,TRUE,0.02,10.885
Prod.Cor,2,3,TRUE,-0.314,8.696
Prod.Cor,2,4,TRUE,0.102,6.3
Prod.Cor,2,5,TRUE,-0.044,11.074
Prod.Cor,3,1,TRUE,0.113,10.468
Prod.Cor,3,2,TRUE,0.02,10.885
Prod.Cor,3,3,TRUE,-0.314,8.696
Prod.Cor,3,4,TRUE,0.102,6.3
Prod.Cor,3,5,TRUE,-0.044,11.074
Prod.Cor,4,1,TRUE,0.113,10.468
Prod.Cor,4,2,TRUE,0.02,10.885
Prod.Cor,4,3,TRUE,-0.314,8.696
Prod.Cor,4,4,TRUE,0.102,6.3
Prod.Cor,4,5,TRUE,-0.044,11.074
Prod.Cor,5,1,TRUE,0.113,10.468
Prod.Cor,5,2,TRUE,0.02,10.885
Prod.Cor,5,3,TRUE,-0.314,8.696
Prod.Cor,5,4,TRUE,0.102,6.3
Prod.Cor,5,5,TRUE,-0.044,11.074
Cer,1,1,TRUE,-0.042,0.21
Cer,1,2,TRUE,-0.112,0.294
Cer,1,3,TRUE,-0.129,0.325
Cer,1,4,TRUE,0.024,0.416
Cer,1,5,TRUE,-0.104,0.456
Cer,2,1,TRUE,-0.042,0.21
Cer,2,2,TRUE,-0.112,0.294
Cer,2,3,TRUE,-0.129,0.325
Cer,2,4,TRUE,0.024,0.416
Cer,2,5,TRUE,-0.104,0.456
Cer,3,1,TRUE,-0.042,0.21
Cer,3,2,TRUE,-0.112,0.294
Cer,3,3,TRUE,-0.129,0.325
Cer,3,4,TRUE,0.024,0.416
Cer,3,5,TRUE,-0.104,0.456
Cer,4,1,TRUE,-0.042,0.21
Cer,4,2,TRUE,-0.112,0.294
Cer,4,3,TRUE,-0.129,0.325
Cer,4,4,TRUE,0.024,0.416
Cer,4,5,TRUE,-0.104,0.456
Cer,5,1,TRUE,-0.042,0.21
Cer,5,2,TRUE,-0.112,0.294
Cer,5,3,TRUE,-0.129,0.325
Cer,5,4,TRUE,0.024,0.416
Cer,5,5,TRUE,-0.104,0.456
BM,1,1,TRUE,0.212,0.27
BM,1,2,TRUE,-0.109,0.216
BM,1,3,TRUE,-0.173,0.243
BM,1,4,TRUE,0.117,0.256
BM,1,5,TRUE,0.007,0.372
BM,2,1,TRUE,0.212,0.27
BM,2,2,TRUE,-0.109,0.216
BM,2,3,TRUE,-0.173,0.243
BM,2,4,TRUE,0.117,0.256
BM,2,5,TRUE,0.007,0.372
BM,3,1,TRUE,0.212,0.27
BM,3,2,TRUE,-0.109,0.216
BM,3,3,TRUE,-0.173,0.243
BM,3,4,TRUE,0.117,0.256
BM,3,5,TRUE,0.007,0.372
BM,4,1,TRUE,0.212,0.27
BM,4,2,TRUE,-0.109,0.216
BM,4,3,TRUE,-0.173,0.243
BM,4,4,TRUE,0.117,0.256
BM,4,5,TRUE,0.007,0.372
BM,5,1,TRUE,0.212,0.27
BM,5,2,TRUE,-0.109,0.216
BM,5,3,TRUE,-0.173,0.243
BM,5,4,TRUE,0.117,0.256
BM,5,5,TRUE,0.007,0.372
