"","Overall","marker","n.fold","method","variable"
"V10",0.121113583545865,"V10","1","DT","1"
"V1060",0.0890313143759131,"V1060","1","DT","1"
"V1061",0.0890313143759184,"V1061","1","DT","1"
"V1062",0.0927462350869345,"V1062","1","DT","1"
"V1063",0.0933142162913634,"V1063","1","DT","1"
"V1064",0.0980974496512027,"V1064","1","DT","1"
"V1138",0.0398789646495617,"V1138","1","DT","1"
"V1387",0.0680988393349348,"V1387","1","DT","1"
"V1390",0.0319191004771909,"V1390","1","DT","1"
"V1393",0.101264772892789,"V1393","1","DT","1"
"V1394",0.06909492950627,"V1394","1","DT","1"
"V1395",0.0707297777807506,"V1395","1","DT","1"
"V1397",0.0675656915595082,"V1397","1","DT","1"
"V1398",0.0317814236065988,"V1398","1","DT","1"
"V1441",0.121107134348083,"V1441","1","DT","1"
"V1442",0.127117834801749,"V1442","1","DT","1"
"V1443",0.127117834801747,"V1443","1","DT","1"
"V1444",0.127117834801749,"V1444","1","DT","1"
"V1445",0.127117834801747,"V1445","1","DT","1"
"V1587",0.0890066352493296,"V1587","1","DT","1"
"V1593",0.0910347557025053,"V1593","1","DT","1"
"V1594",0.0910347557025013,"V1594","1","DT","1"
"V1595",0.0910347557025013,"V1595","1","DT","1"
"V1596",0.0910347557025023,"V1596","1","DT","1"
"V1618",0.0754800685033332,"V1618","1","DT","1"
"V1619",0.0694543651393677,"V1619","1","DT","1"
"V1620",0.0694543651393677,"V1620","1","DT","1"
"V172",0.05350998885534,"V172","1","DT","1"
"V177",0.0893610693743488,"V177","1","DT","1"
"V1807",0.0318635560768681,"V1807","1","DT","1"
"V1808",0.0324321883182754,"V1808","1","DT","1"
"V2133",0.109367545414007,"V2133","1","DT","1"
"V2134",0.109367545414011,"V2134","1","DT","1"
"V2135",0.109367545414011,"V2135","1","DT","1"
"V2136",0.109367545414007,"V2136","1","DT","1"
"V2137",0.109367545414009,"V2137","1","DT","1"
"V2190",0.05166437064839,"V2190","1","DT","1"
"V2191",0.0523591603023665,"V2191","1","DT","1"
"V2192",0.0559164308604359,"V2192","1","DT","1"
"V2193",0.0577611863202266,"V2193","1","DT","1"
"V2194",0.0524988675640023,"V2194","1","DT","1"
"V2205",0.107487724157279,"V2205","1","DT","1"
"V2232",0.106939889783031,"V2232","1","DT","1"
"V2233",0.106939889783023,"V2233","1","DT","1"
"V2239",0.115503702768573,"V2239","1","DT","1"
"V2240",0.115503702768587,"V2240","1","DT","1"
"V2584",0.0529491032814656,"V2584","1","DT","1"
"V2585",0.0529491032814677,"V2585","1","DT","1"
"V2586",0.0529491032814677,"V2586","1","DT","1"
"V2588",0.0618186056324334,"V2588","1","DT","1"
"V2590",0.0546958324338082,"V2590","1","DT","1"
"V297",0.0484253652080756,"V297","1","DT","1"
"V3346",0.393332285000013,"V3346","1","DT","1"
"V3347",0.393332285000013,"V3347","1","DT","1"
"V3349",0.393332285000013,"V3349","1","DT","1"
"V3350",0.39333228500002,"V3350","1","DT","1"
"V3351",0.39333228500002,"V3351","1","DT","1"
"V3726",0.2164123322889,"V3726","1","DT","1"
"V3729",0.2164123322889,"V3729","1","DT","1"
"V3733",0.2164123322889,"V3733","1","DT","1"
"V3742",0.221139947869453,"V3742","1","DT","1"
"V3743",0.221139947869453,"V3743","1","DT","1"
"V402",0.106560135921526,"V402","1","DT","1"
"V403",0.0939481246489725,"V403","1","DT","1"
"V407",0.0912755426356533,"V407","1","DT","1"
"V408",0.0912755426356456,"V408","1","DT","1"
