"","Overall","marker","n.fold","method","variable"
"V1",69.2416513280769,"V1","1","BO","1"
"V2",35.6994145419036,"V2","1","BO","1"
"V3",24.3085201491494,"V3","1","BO","1"
"V4",28.7758065364087,"V4","1","BO","1"
"V5",0,"V5","1","BO","1"
"V6",0,"V6","1","BO","1"
"V7",0,"V7","1","BO","1"
"V8",0,"V8","1","BO","1"
"V9",0,"V9","1","BO","1"
"V10",0,"V10","1","BO","1"
"V11",0,"V11","1","BO","1"
"V12",0,"V12","1","BO","1"
"V13",0,"V13","1","BO","1"
"V14",0,"V14","1","BO","1"
"V15",28.0796995516073,"V15","1","BO","1"
"V16",0,"V16","1","BO","1"
"V17",0,"V17","1","BO","1"
"V18",40.0310790802059,"V18","1","BO","1"
"V19",0,"V19","1","BO","1"
"V20",0,"V20","1","BO","1"
"V21",0,"V21","1","BO","1"
"V22",0,"V22","1","BO","1"
"V23",25.7639048187018,"V23","1","BO","1"
"V24",0,"V24","1","BO","1"
"V25",0,"V25","1","BO","1"
"V26",0,"V26","1","BO","1"
"V27",0,"V27","1","BO","1"
"V28",31.0169599227537,"V28","1","BO","1"
"V29",0,"V29","1","BO","1"
"V30",0,"V30","1","BO","1"
"V31",0,"V31","1","BO","1"
"V32",0,"V32","1","BO","1"
"V33",23.81632291284,"V33","1","BO","1"
"V34",0,"V34","1","BO","1"
"V35",0,"V35","1","BO","1"
"V36",0,"V36","1","BO","1"
"V37",66.1915493481709,"V37","1","BO","1"
"V38",0,"V38","1","BO","1"
"V39",0,"V39","1","BO","1"
"V40",0,"V40","1","BO","1"
"V41",0,"V41","1","BO","1"
"V42",0,"V42","1","BO","1"
"V43",0,"V43","1","BO","1"
"V44",0,"V44","1","BO","1"
"V45",0,"V45","1","BO","1"
"V46",0,"V46","1","BO","1"
"V47",0,"V47","1","BO","1"
"V48",0,"V48","1","BO","1"
"V49",0,"V49","1","BO","1"
"V50",0,"V50","1","BO","1"
"V51",45.2991016356541,"V51","1","BO","1"
"V52",0,"V52","1","BO","1"
"V53",0,"V53","1","BO","1"
"V54",33.2193196064066,"V54","1","BO","1"
"V55",61.7492154411291,"V55","1","BO","1"
"V56",0,"V56","1","BO","1"
"V57",0,"V57","1","BO","1"
"V58",0,"V58","1","BO","1"
"V59",0,"V59","1","BO","1"
"V60",0,"V60","1","BO","1"
"V61",0,"V61","1","BO","1"
"V62",0,"V62","1","BO","1"
"V63",0,"V63","1","BO","1"
"V64",0,"V64","1","BO","1"
"V65",0,"V65","1","BO","1"
"V66",0,"V66","1","BO","1"
"V67",0,"V67","1","BO","1"
"V68",0,"V68","1","BO","1"
"V69",0,"V69","1","BO","1"
"V70",85.6751716032759,"V70","1","BO","1"
"V71",25.5504387097162,"V71","1","BO","1"
"V72",73.9925654009679,"V72","1","BO","1"
"V73",0,"V73","1","BO","1"
"V74",0,"V74","1","BO","1"
"V75",0,"V75","1","BO","1"
"V76",0,"V76","1","BO","1"
"V77",33.2337968106911,"V77","1","BO","1"
"V78",0,"V78","1","BO","1"
"V79",0,"V79","1","BO","1"
"V80",0,"V80","1","BO","1"
"V81",0,"V81","1","BO","1"
"V82",0,"V82","1","BO","1"
"V83",58.4562338841475,"V83","1","BO","1"
"V84",0,"V84","1","BO","1"
"V85",0,"V85","1","BO","1"
"V86",0,"V86","1","BO","1"
"V87",0,"V87","1","BO","1"
"V88",0,"V88","1","BO","1"
"V89",0,"V89","1","BO","1"
"V90",0,"V90","1","BO","1"
"V91",60.6073332589644,"V91","1","BO","1"
"V92",73.3606430754732,"V92","1","BO","1"
"V93",0,"V93","1","BO","1"
"V94",0,"V94","1","BO","1"
"V95",0,"V95","1","BO","1"
"V96",54.9284149629718,"V96","1","BO","1"
"V97",0,"V97","1","BO","1"
"V98",0,"V98","1","BO","1"
"V99",0,"V99","1","BO","1"
"V100",56.3576403038701,"V100","1","BO","1"
"V101",0,"V101","1","BO","1"
"V102",0,"V102","1","BO","1"
"V103",0,"V103","1","BO","1"
"V104",0,"V104","1","BO","1"
"V105",0,"V105","1","BO","1"
"V106",0,"V106","1","BO","1"
"V107",0,"V107","1","BO","1"
"V108",0,"V108","1","BO","1"
"V109",0,"V109","1","BO","1"
"V110",0,"V110","1","BO","1"
"V111",0,"V111","1","BO","1"
"V112",0,"V112","1","BO","1"
"V113",32.684956376458,"V113","1","BO","1"
"V114",0,"V114","1","BO","1"
"V115",0,"V115","1","BO","1"
"V116",0,"V116","1","BO","1"
"V117",0,"V117","1","BO","1"
"V118",0,"V118","1","BO","1"
"V119",0,"V119","1","BO","1"
"V120",0,"V120","1","BO","1"
"V121",0,"V121","1","BO","1"
"V122",0,"V122","1","BO","1"
"V123",0,"V123","1","BO","1"
"V124",0,"V124","1","BO","1"
"V125",62.1960160564985,"V125","1","BO","1"
"V126",0,"V126","1","BO","1"
"V127",0,"V127","1","BO","1"
"V128",0,"V128","1","BO","1"
"V129",0,"V129","1","BO","1"
"V130",0,"V130","1","BO","1"
"V131",0,"V131","1","BO","1"
"V132",0,"V132","1","BO","1"
"V133",0,"V133","1","BO","1"
"V134",83.9602373541272,"V134","1","BO","1"
"V135",0,"V135","1","BO","1"
"V136",0,"V136","1","BO","1"
"V137",0,"V137","1","BO","1"
"V138",0,"V138","1","BO","1"
"V139",0,"V139","1","BO","1"
"V140",0,"V140","1","BO","1"
"V141",0,"V141","1","BO","1"
"V142",0,"V142","1","BO","1"
"V143",0,"V143","1","BO","1"
"V144",0,"V144","1","BO","1"
"V145",0,"V145","1","BO","1"
"V146",0,"V146","1","BO","1"
"V147",0,"V147","1","BO","1"
"V148",0,"V148","1","BO","1"
"V149",0,"V149","1","BO","1"
"V150",0,"V150","1","BO","1"
"V151",0,"V151","1","BO","1"
"V152",0,"V152","1","BO","1"
"V153",0,"V153","1","BO","1"
"V154",0,"V154","1","BO","1"
"V155",0,"V155","1","BO","1"
"V156",0,"V156","1","BO","1"
"V157",0,"V157","1","BO","1"
"V158",0,"V158","1","BO","1"
"V159",0,"V159","1","BO","1"
"V160",43.004411141917,"V160","1","BO","1"
"V161",0,"V161","1","BO","1"
"V162",0,"V162","1","BO","1"
"V163",0,"V163","1","BO","1"
"V164",0,"V164","1","BO","1"
"V165",0,"V165","1","BO","1"
"V166",0,"V166","1","BO","1"
"V167",0,"V167","1","BO","1"
"V168",38.4762066483175,"V168","1","BO","1"
"V169",0,"V169","1","BO","1"
"V170",79.9171553697924,"V170","1","BO","1"
"V171",0,"V171","1","BO","1"
"V172",128.977115390019,"V172","1","BO","1"
"V173",0,"V173","1","BO","1"
"V174",46.2309134940447,"V174","1","BO","1"
"V175",0,"V175","1","BO","1"
"V176",27.1200951653623,"V176","1","BO","1"
"V177",113.982951959918,"V177","1","BO","1"
"V178",0,"V178","1","BO","1"
"V179",87.0932038180991,"V179","1","BO","1"
"V180",39.583114715917,"V180","1","BO","1"
"V181",0,"V181","1","BO","1"
"V182",30.6137850236195,"V182","1","BO","1"
"V183",0,"V183","1","BO","1"
"V184",0,"V184","1","BO","1"
"V185",0,"V185","1","BO","1"
"V186",0,"V186","1","BO","1"
"V187",49.9627080463812,"V187","1","BO","1"
"V188",0,"V188","1","BO","1"
"V189",67.0168315040986,"V189","1","BO","1"
"V190",0,"V190","1","BO","1"
"V191",0,"V191","1","BO","1"
"V192",0,"V192","1","BO","1"
"V193",0,"V193","1","BO","1"
"V194",0,"V194","1","BO","1"
"V195",0,"V195","1","BO","1"
"V196",0,"V196","1","BO","1"
"V197",0,"V197","1","BO","1"
"V198",0,"V198","1","BO","1"
"V199",20.7364494859418,"V199","1","BO","1"
"V200",0,"V200","1","BO","1"
"V201",0,"V201","1","BO","1"
"V202",0,"V202","1","BO","1"
"V203",0,"V203","1","BO","1"
"V204",0,"V204","1","BO","1"
"V205",0,"V205","1","BO","1"
"V206",55.7580511074969,"V206","1","BO","1"
"V207",134.456386274697,"V207","1","BO","1"
"V208",0,"V208","1","BO","1"
"V209",0,"V209","1","BO","1"
"V210",17.9145500605195,"V210","1","BO","1"
"V211",0,"V211","1","BO","1"
"V212",0,"V212","1","BO","1"
"V213",25.688373991277,"V213","1","BO","1"
"V214",0,"V214","1","BO","1"
"V215",0,"V215","1","BO","1"
"V216",0,"V216","1","BO","1"
"V217",0,"V217","1","BO","1"
"V218",37.5540030783711,"V218","1","BO","1"
"V219",0,"V219","1","BO","1"
"V220",0,"V220","1","BO","1"
"V221",0,"V221","1","BO","1"
"V222",45.5031984326819,"V222","1","BO","1"
"V223",0,"V223","1","BO","1"
"V224",0,"V224","1","BO","1"
"V225",0,"V225","1","BO","1"
"V226",0,"V226","1","BO","1"
"V227",0,"V227","1","BO","1"
"V228",0,"V228","1","BO","1"
"V229",0,"V229","1","BO","1"
"V230",23.9866235967046,"V230","1","BO","1"
"V231",0,"V231","1","BO","1"
"V232",0,"V232","1","BO","1"
"V233",0,"V233","1","BO","1"
"V234",0,"V234","1","BO","1"
"V235",0,"V235","1","BO","1"
"V236",0,"V236","1","BO","1"
"V237",0,"V237","1","BO","1"
"V238",70.0593603063724,"V238","1","BO","1"
"V239",0,"V239","1","BO","1"
"V240",111.757410272814,"V240","1","BO","1"
"V241",0,"V241","1","BO","1"
"V242",68.7231434713767,"V242","1","BO","1"
"V243",0,"V243","1","BO","1"
"V244",0,"V244","1","BO","1"
"V245",19.1397370890477,"V245","1","BO","1"
"V246",0,"V246","1","BO","1"
"V247",0,"V247","1","BO","1"
"V248",0,"V248","1","BO","1"
"V249",0,"V249","1","BO","1"
"V250",0,"V250","1","BO","1"
"V251",0,"V251","1","BO","1"
"V252",0,"V252","1","BO","1"
"V253",0,"V253","1","BO","1"
"V254",0,"V254","1","BO","1"
"V255",0,"V255","1","BO","1"
"V256",0,"V256","1","BO","1"
