"","Overall","marker","n.fold","method","variable"
"1",-0.00414194539479491,"V1","1","G-BLUP","1"
"2",-0.00221752933251459,"V2","1","G-BLUP","1"
"3",-0.00391016349229435,"V3","1","G-BLUP","1"
"4",-0.00175018248318442,"V4","1","G-BLUP","1"
"5",-0.00312112227106382,"V5","1","G-BLUP","1"
"6",0.00112696611316073,"V6","1","G-BLUP","1"
"7",0.00256190962945503,"V7","1","G-BLUP","1"
"8",0.00316288075963378,"V8","1","G-BLUP","1"
"9",0.00196585389455346,"V9","1","G-BLUP","1"
"10",0.00291004853609456,"V10","1","G-BLUP","1"
"11",-0.00143721506101746,"V11","1","G-BLUP","1"
"12",-0.00375227747070807,"V12","1","G-BLUP","1"
"13",-0.00415982993795094,"V13","1","G-BLUP","1"
"14",-0.00244558670943393,"V14","1","G-BLUP","1"
"15",-0.00372107071231801,"V15","1","G-BLUP","1"
"16",0.000909921927936985,"V16","1","G-BLUP","1"
"17",-0.000627028586171675,"V17","1","G-BLUP","1"
"18",-0.0022920614589952,"V18","1","G-BLUP","1"
"19",-0.00223075961635671,"V19","1","G-BLUP","1"
"20",-0.00108353452165699,"V20","1","G-BLUP","1"
"21",-0.000201884877898677,"V21","1","G-BLUP","1"
"22",-0.00059138062382943,"V22","1","G-BLUP","1"
"23",-0.000711308354937873,"V23","1","G-BLUP","1"
"24",-0.00178458555531653,"V24","1","G-BLUP","1"
"25",-0.00188879667738926,"V25","1","G-BLUP","1"
"26",-0.00132777950529351,"V26","1","G-BLUP","1"
"27",-0.00252117721800811,"V27","1","G-BLUP","1"
"28",-0.0032491338696,"V28","1","G-BLUP","1"
"29",-0.00275860780871761,"V29","1","G-BLUP","1"
"30",-0.00161480103295027,"V30","1","G-BLUP","1"
"31",-0.00313881691945227,"V31","1","G-BLUP","1"
"32",-0.000973053087127439,"V32","1","G-BLUP","1"
"33",-0.000337850522985788,"V33","1","G-BLUP","1"
"34",-6.66887640567073e-05,"V34","1","G-BLUP","1"
"35",-0.00320997152399133,"V35","1","G-BLUP","1"
"36",-0.000569433018044031,"V36","1","G-BLUP","1"
"37",-0.00151389820898337,"V37","1","G-BLUP","1"
"38",-0.00213462634257117,"V38","1","G-BLUP","1"
"39",-0.000420330980528013,"V39","1","G-BLUP","1"
"40",0.00100809503128525,"V40","1","G-BLUP","1"
"41",0.00112968411091804,"V41","1","G-BLUP","1"
"42",-0.00140884660327614,"V42","1","G-BLUP","1"
"43",-0.000399512563642072,"V43","1","G-BLUP","1"
"44",0.00187459097992078,"V44","1","G-BLUP","1"
"45",-0.00317267847072419,"V45","1","G-BLUP","1"
"46",-0.00348711433848351,"V46","1","G-BLUP","1"
"47",-0.00347929748066623,"V47","1","G-BLUP","1"
"48",-0.00166629279921853,"V48","1","G-BLUP","1"
"49",-0.00217480323253363,"V49","1","G-BLUP","1"
"50",-0.00375131268530504,"V50","1","G-BLUP","1"
"51",-0.00324428054492178,"V51","1","G-BLUP","1"
"52",-0.00208473713712149,"V52","1","G-BLUP","1"
"53",0.00163271058557072,"V53","1","G-BLUP","1"
"54",0.00233222892006269,"V54","1","G-BLUP","1"
"55",0.00286230238967087,"V55","1","G-BLUP","1"
"56",0.00174660857953,"V56","1","G-BLUP","1"
"57",0.0013945451072214,"V57","1","G-BLUP","1"
"58",6.07706867803348e-06,"V58","1","G-BLUP","1"
"59",-0.00197562345136006,"V59","1","G-BLUP","1"
"60",-0.00223836350692887,"V60","1","G-BLUP","1"
"61",-0.0022800563337915,"V61","1","G-BLUP","1"
"62",-2.7201489891035e-05,"V62","1","G-BLUP","1"
"63",-0.00523592687324867,"V63","1","G-BLUP","1"
"64",-0.00496636225680423,"V64","1","G-BLUP","1"
"65",-0.00455415253370097,"V65","1","G-BLUP","1"
"66",-0.00291309810576729,"V66","1","G-BLUP","1"
"67",-0.00184658865458928,"V67","1","G-BLUP","1"
"68",-0.000841583701353824,"V68","1","G-BLUP","1"
"69",-0.00208920348056899,"V69","1","G-BLUP","1"
"70",-0.00311362537722272,"V70","1","G-BLUP","1"
"71",-0.00180976653609425,"V71","1","G-BLUP","1"
"72",-0.000898252985233862,"V72","1","G-BLUP","1"
"73",-0.00300705964367061,"V73","1","G-BLUP","1"
"74",-0.0062669189454307,"V74","1","G-BLUP","1"
"75",-0.00193196362034472,"V75","1","G-BLUP","1"
"76",-0.00246083934736083,"V76","1","G-BLUP","1"
"77",-0.00112461235673171,"V77","1","G-BLUP","1"
"78",-0.000824596001479107,"V78","1","G-BLUP","1"
"79",7.34393150417269e-05,"V79","1","G-BLUP","1"
"80",0.00202913164661967,"V80","1","G-BLUP","1"
"81",0.000407512740054205,"V81","1","G-BLUP","1"
"82",-0.00187174284394927,"V82","1","G-BLUP","1"
"83",-0.000958544650508515,"V83","1","G-BLUP","1"
"84",0.00282414779302957,"V84","1","G-BLUP","1"
"85",0.00157866921032134,"V85","1","G-BLUP","1"
"86",-0.000603306687750237,"V86","1","G-BLUP","1"
"87",-0.00194211321685685,"V87","1","G-BLUP","1"
"88",0.00175428097136614,"V88","1","G-BLUP","1"
"89",0.000339339296197714,"V89","1","G-BLUP","1"
"90",5.77199570966237e-05,"V90","1","G-BLUP","1"
"91",0.000468756968883832,"V91","1","G-BLUP","1"
"92",-0.00171210327443285,"V92","1","G-BLUP","1"
"93",-0.000326644282444341,"V93","1","G-BLUP","1"
"94",0.000280156902601034,"V94","1","G-BLUP","1"
"95",-0.000718921642851671,"V95","1","G-BLUP","1"
"96",-0.000948791492591375,"V96","1","G-BLUP","1"
